label,jsonl_data
TiO2 content,"{'data': 'TiO 2 ( typical ) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | . 93 % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . <header> <P R O P E R T I E S> | <This table indicates the properties of this grade. It is not a specification, although specifications are available.> </header>', 'label': [[114, 116, 'mean'], [117, 118, 'unit'], [8, 15, 'measuring_condition']]}"
Inorganic surface treatment,"{'data': 'R 298 has a zirconium and aluminium inorganic surface treatment, in combination with a special organic coating. It is well suited for both waterborn and solventborn coating, ink applications. | R 298 has a zirconium and aluminium inorganic surface treatment, in combination with a special organic coating. It is well suited for both waterborn and solventborn coating, ink applications.', 'label': []}"
Density,"{'data': 'Bulk density ( tamped ) ( 1 ) | ............................................................................................................................... 0.5 g/cm 3', 'label': [[0, 4, 'measuring_condition'], [15, 21, 'measuring_condition'], [160, 163, 'mean'], [164, 170, 'unit'], [26, 27, 'unclear_value']]}"
pH,"{'data': 'pH Value | 6.5 – 7.5 <header> <> | <ULX> </header>', 'label': [[11, 14, 'min'], [17, 20, 'max']]}"
Production Process,"{'data': 'Processing Method | Sulfate', 'label': []}"
"Crystal (rutile %, anatase %)","{'data': 'Crystal Form | Rutile <header> <Color> | <Gray> </header>', 'label': []}"
Oil Absorption,"{'data': 'Oil Absorption ( g/ 100 gr ) | 29 - 38', 'label': [[17, 26, 'unit'], [31, 33, 'min'], [36, 38, 'max']]}"
Oil Absorption,"{'data': 'Oil absorption ( 3 ) | 17 cm 3 / 100 g pigment', 'label': [[23, 25, 'mean'], [26, 38, 'unit'], [39, 46, 'measuring_condition']]}"
header,"{'data': 'PROPERTY | ANALYSIS', 'label': []}"
pH,"{'data': 'PH | 6.20 <header> <PRODUCT NAME> | <TITOX MICRONISED BUFF TITANIUM DIOXIDE> </header>', 'label': [[5, 9, 'mean']]}"
pH,"{'data': 'PH | PH | 7.0 ~ 9.0 <header> <典型数据> | <Property> | <SR - 237 > </header>', 'label': [[10, 13, 'min'], [16, 19, 'max']]}"
Inorganic surface treatment,"{'data': 'Amorphous silica | 7631 - 86 - 9 | 2 - 4 <header> <Component> | <CAS #> | <Weight % ( approx. ) > </header>', 'label': [[0, 9, 'measuring_condition'], [35, 36, 'min'], [39, 40, 'max']]}"
pH,"{'data': 'pH | 7.5', 'label': [[5, 8, 'mean']]}"
Oil Absorption,"{'data': 'Oil Absorption ( g/ 100 g ) | 19.0', 'label': [[17, 25, 'unit'], [30, 34, 'mean']]}"
Inorganic surface treatment,"{'data': 'Amorphous Silica, wt % | 10.2 <header> <Property> | <R - 931 > </header>', 'label': [[18, 20, 'measuring_condition'], [21, 22, 'unit'], [25, 29, 'mean']]}"
Density,"{'data': 'Density: | 34.2 lbs/gal', 'label': [[11, 15, 'mean'], [16, 23, 'unit']]}"
pH,"{'data': 'pH Value ( ISO 787 - 9 ) | 7.2 <header> <TiO 2 % ( ISO 591 - 1 ) > | < 93 % > </header>', 'label': [[11, 22, 'method'], [27, 30, 'mean']]}"
Density,"{'data': 'Stampfdichte g/l ± 5 % DIN 53194 | 620 | 690 | 510 | Bulk density g/l ± 5 % DIN 53194 <header> <> | <transparent transparent> | <weiss white> | <tiefschwarz deep black> | <> </header>', 'label': [[35, 38, 'mean'], [41, 44, 'mean'], [47, 50, 'mean'], [53, 57, 'measuring_condition'], [66, 69, 'unit'], [76, 85, 'method'], [23, 32, 'method'], [72, 73, 'std'], [74, 75, 'unit'], [19, 20, 'std'], [21, 22, 'unit']]}"
"Crystal (rutile %, anatase %)","{'data': 'Crystal Form | Rutile <header> <Color> | <Light Beige> </header>', 'label': []}"
Oil Absorption,"{'data': 'Oil absorption, g/ 100 g | ≤ 18 <header> <TiO 2 content / % > | <≥ 94.0 > </header>', 'label': [[16, 24, 'unit'], [29, 31, 'max']]}"
TiO2 content,"{'data': '• | TiO 2 content: | 81 %', 'label': [[21, 23, 'mean'], [24, 25, 'unit']]}"
Inorganic surface treatment,"{'data': 'Amorphous Silica, wt % | — <header> <Property> | <R - 900 > </header>', 'label': [[18, 20, 'measuring_condition'], [21, 22, 'unit']]}"
"Crystal (rutile %, anatase %)","{'data': 'Crystal Form | Rutile <header> <Processing Method> | <Sulfate> </header>', 'label': []}"
TiO2 content,"{'data': 'Product | Titanium dioxide of Crimea CR - O 8', 'label': []}"
Density,"{'data': 'Specific Gravity ……………………………………………………….……….. | 4.0', 'label': [[47, 50, 'mean']]}"
Density,"{'data': 'Density ( DIN EN ISO 787 - 10 ) * | 3.9 g/cm 3', 'label': [[10, 29, 'method'], [36, 39, 'mean'], [40, 46, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 content ( DIN EN ISO 591 ) | 95 % <header> <Production rutile pigment produced by the sulphate process> <Surface treatment> | <Production rutile pigment produced by the sulphate process> <aluminium compounds> </header>', 'label': [[16, 30, 'method'], [35, 37, 'mean'], [38, 39, 'unit']]}"
Density,"{'data': 'Bulk density ( tamped ) [ kg/m 3 ] | 1000', 'label': [[0, 4, 'measuring_condition'], [15, 21, 'measuring_condition'], [26, 32, 'unit'], [37, 41, 'mean']]}"
Density,"{'data': 'Density ( DIN EN ISO 787 - 10 ) * | 4.1 g/cm 3 <header> <Production rutile pigment produced by the chloride process> <Surface treatment> | <Production rutile pigment produced by the chloride process> <aluminium compounds> </header>', 'label': [[10, 29, 'method'], [36, 39, 'mean'], [40, 46, 'unit']]}"
Density,"{'data': 'Bulk density ( tamped ) ( 2 ) | 1.1 g/cm 3', 'label': [[0, 4, 'measuring_condition'], [15, 21, 'measuring_condition'], [32, 35, 'mean'], [36, 42, 'unit']]}"
Oil Absorption,"{'data': 'Oil absorption ( DIN EN ISO 787 - 5 ) * | 17 g/ 100 g pigment <header> <Production rutile pigment produced by the chloride process> <Surface treatment> | <Production rutile pigment produced by the chloride process> <aluminium compounds> </header>', 'label': [[17, 35, 'method'], [42, 44, 'mean'], [45, 53, 'unit'], [54, 61, 'measuring_condition']]}"
multi,"{'data': ' | • Bulk density: • Particle size* | • Bulk density: • Particle size* | 1.1 kg/l or 69 lbs/cu.ft.', 'label': []}"
Particle size,"{'data': 'Median Particle Diameter, ( µm ) | 1.0 <header> <Color> | <Gray> </header>', 'label': [[0, 6, 'measuring_condition'], [28, 30, 'unit'], [35, 38, 'mean']]}"
pH,"{'data': 'pH Value | 6.5 ~ 8.5 | ISO 787 - 9 <header> <Parameter> | <Value> | <Test method> </header>', 'label': [[11, 14, 'min'], [17, 20, 'max'], [23, 34, 'method']]}"
stray,"{'data': 'approx. | 220', 'label': []}"
Oil Absorption,"{'data': 'Oil Absorption | 15.2 <header> <Property> | <R - 900 > </header>', 'label': [[17, 21, 'mean']]}"
pH,"{'data': 'pH | 7.2 <header> <Property> | <R - 960 > </header>', 'label': [[5, 8, 'mean']]}"
pH,"{'data': 'pH of the pigment ( 20 % slurry ) | 6.00 - 8.00 | 7.80 <header> <Characteristics> | <Specification> | <Typical Value> </header>', 'label': [[36, 40, 'min'], [43, 47, 'max'], [50, 54, 'unclear_value'], [10, 33, 'measuring_condition']]}"
TiO2 content,"{'data': 'Typical | • TiO 2 content | 95 %', 'label': [[28, 30, 'mean'], [31, 32, 'unit']]}"
Density,"{'data': 'Density: | 4.0', 'label': [[11, 14, 'mean']]}"
TiO2 content,"{'data': 'TiO 2 , wt % , min. | 93 <header> <Property> | <R - 902 +> </header>', 'label': [[8, 10, 'measuring_condition'], [11, 12, 'unit'], [22, 24, 'min']]}"
TiO2 content,"{'data': 'Contents: TiO 2 | % ≥ | 93 | 93 | 93', 'label': [[18, 19, 'unit'], [24, 26, 'min'], [29, 31, 'min'], [34, 36, 'min']]}"
Particle size,"{'data': 'Particle size* Disc Centrifuge – mean diameter ( Dn ) : | 0.25 µm', 'label': [[15, 53, 'measuring_condition'], [58, 62, 'mean'], [63, 65, 'unit']]}"
pH,"{'data': 'pH Value | 6.5 – 7.5 <header> <> | <F> </header>', 'label': [[11, 14, 'min'], [17, 20, 'max']]}"
Density,"{'data': 'Properties Product Characteristics | Properties Product Characteristics | Density ( ISO 787, Part 10 ) 4.1 g/cm 3', 'label': [[84, 100, 'method'], [103, 106, 'mean'], [107, 113, 'unit']]}"
"Crystal (rutile %, anatase %)","{'data': 'Rutile Content， % | 99.9 | 99.9 |', 'label': [[20, 24, 'mean'], [27, 31, 'mean'], [16, 17, 'unit']]}"
stray,"{'data': 'ASTM D - 476 - 84. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | ASTM D - 476 - 84. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | ASTM D - 476 - 84. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | ASTM D - 476 - 84. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | ASTM D - 476 - 84. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . TYPE III, IV <header> <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > | <TYPICAL PROPERTIES 1 APR> <TiO 2 CONTENT % . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 9 1 > </header>', 'label': []}"
pH,"{'data': 'pH | pH | Neutral | Neutral | Neutral <header> <ITEM> | <ITEM> | <MT - 100 HD> | <MT - 500 HD> | <MT - 700 HD> </header>', 'label': []}"
Production Process,"{'data': 'Description: | TiONA® 813 is a heavily treated, chloride - process, rutile titanium dioxide pigment, specifically <label>', 'label': []}"
Oil Absorption,"{'data': 'Oil absorption ( ISO 787, Part 5 ) | 16 – 21 g/ 100 g <header> <Production rutile pigment produced by the sulfate process> <Surface treatment aluminium> | <Production rutile pigment produced by the sulfate process> <compounds> </header>', 'label': [[17, 32, 'method'], [37, 39, 'min'], [42, 44, 'max'], [45, 53, 'unit']]}"
"Crystal (rutile %, anatase %)","{'data': 'Crystal Form | Rutile <header> <Color> | <Light Beige> </header>', 'label': []}"
Inorganic surface treatment,"{'data': 'Modifiers, compounds of | | Al, Si, Zr, polyalcohol <header> <Appearance> | <Appearance> | <odourless, white powder> </header>', 'label': []}"
Density,"{'data': 'Density ( g/cm 3 ) | 4.0 <header> < - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - TYPE> | <R - 996 > </header>', 'label': [[10, 16, 'unit'], [21, 24, 'mean']]}"
Density,"{'data': 'Bulk density: | 0.52 kg/l or 32 lbs/cu.ft.', 'label': [[0, 4, 'measuring_condition'], [16, 20, 'mean'], [21, 25, 'unit'], [29, 31, 'mean'], [32, 42, 'unit']]}"
Density,"{'data': 'Specific gravity, g/cm 3 | 4.0', 'label': [[27, 30, 'mean'], [18, 24, 'unit']]}"
TiO2 content,"{'data': 'TiO 2, wt % , min | 96 | 94 | 91 | 93 | 89 | 80 <header> <Property> | <R - 700 > | <R - 900 > | <R - 902 > | <R - 706 > | <R - 960 > | <R - 931 > </header>', 'label': [[7, 9, 'measuring_condition'], [10, 11, 'unit'], [20, 22, 'min'], [25, 27, 'min'], [30, 32, 'min'], [35, 37, 'min'], [40, 42, 'min'], [45, 47, 'min']]}"
Oil Absorption,"{'data': 'Properties: | • Oil absorption: | 19 g/ 100 g', 'label': [[34, 36, 'mean'], [37, 45, 'unit']]}"
Particle size,"{'data': 'Average particle size 2 , ( µm ) . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 0.20', 'label': [[0, 7, 'measuring_condition'], [22, 23, 'unclear_value'], [28, 30, 'unit'], [135, 139, 'mean']]}"
Inorganic surface treatment,"{'data': 'Inorganic Surface Treatment | SiO 2, Al 2 O 3 <header> <Processing Method> | <Sulfate> </header>', 'label': []}"
multi,"{'data': 'Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | Inorganic coating Organic treatment Crystal size [ μm ] Specific gravity [ g/cm 3 ] Loss at 105 °C ( 1 ) [ % ] Bulk density ( tamped ) ( 2 ) [ g/cm 3 ] Oil absorption ( 3 ) [ cm 3 /g pigment ] Water demand ( 4 ) [ cm 3 /g pigment ] Durability | Alumina, Zirconia <header> <TiO 2 content [ % ] > | <TiO 2 content [ % ] > | < 94 > </header>', 'label': []}"
TiO2 content,"{'data': 'TiO 2 content | 93 % <header> <TiO 2 content> | < 93 % > </header>', 'label': [[16, 18, 'mean'], [19, 20, 'unit']]}"
Density,"{'data': 'Bulk density ( tamped ) ( 2 ) | 1.0 g/cm 3 <header> <specifications TiO 2 Content> | < 94 % > </header>', 'label': [[0, 4, 'measuring_condition'], [15, 21, 'measuring_condition'], [26, 27, 'unclear_value'], [32, 35, 'mean'], [36, 42, 'unit']]}"
TiO2 content,"{'data': 'TiO 2 content ( DIN EN ISO 591 ) | 92.0 %', 'label': [[16, 30, 'method'], [35, 39, 'mean'], [40, 41, 'unit']]}"
Inorganic surface treatment,"{'data': 'Al 2 O 3, % | 3.80 | XRF <header> <Property> | <Typical Value> | <Method> </header>', 'label': [[14, 18, 'mean'], [10, 11, 'unit'], [21, 24, 'method']]}"
stray,"{'data': '类别 | ASTM D - 476 - 84 : II ( IV ) | ASTM D - 476 - 84 : II ( IV )', 'label': []}"
pH,"{'data': 'pH of water suspension | | 6.5 – 8.0 | ISO 787 - 9 <header> <TYPICAL PROPERTIES:> <TiO 2, wt % > | <TYPICAL PROPERTIES:> <min.> | <TYPICAL PROPERTIES:> < 94 > | <TYPICAL PROPERTIES:> <ISO 591 - 1 > </header>', 'label': [[27, 30, 'min'], [33, 36, 'max'], [39, 50, 'method'], [6, 22, 'measuring_condition']]}"
Density,"{'data': 'Specific Gravity | 3.9 <header> <Property> | <R - 960 > </header>', 'label': [[19, 22, 'mean']]}"
Production Process,"{'data': 'Production rutile pigment produced by the sulfate process | Production rutile pigment produced by the sulfate process <header> <Production rutile pigment produced by the sulfate process> <Surface treatment aluminium> | <Production rutile pigment produced by the sulfate process> <compounds> </header>', 'label': []}"
Inorganic surface treatment,"{'data': 'Amorphous Silica | Yes <header> <Property> | <R - 902 +> </header>', 'label': []}"
pH,"{'data': 'PH | 6.0 - 8.5 | 6.0 - 8.5', 'label': [[5, 8, 'unclear_value'], [11, 14, 'unclear_value'], [17, 20, 'unclear_value'], [23, 26, 'unclear_value']]}"
Oil Absorption,"{'data': 'Oil Absorption | 15.2 <header> <Property> | <R - 900 > </header>', 'label': [[17, 21, 'mean']]}"
Density,"{'data': ' | • Specific gravity: | • Specific gravity: | 4.0', 'label': [[47, 50, 'mean']]}"
TiO2 content,"{'data': 'TiO 2 content ( m/m ) | 93.0 % | 93.0 %', 'label': [[16, 19, 'measuring_condition'], [29, 30, 'unit'], [38, 39, 'unit'], [24, 28, 'unclear_value'], [33, 37, 'unclear_value']]}"
Production Process,"{'data': 'Processing Method | Sulfate <header> <Processing Method> | <Sulfate> </header> <label>', 'label': []}"
Oil Absorption,"{'data': 'Oil absorption | 23', 'label': [[17, 19, 'mean']]}"
Inorganic surface treatment,"{'data': '• | Surface treatment: | Alumina, zirconia, organic', 'label': []}"
Particle size,"{'data': 'Median Particle Size, µm | 0.50 <header> <Property> | <R - 960 > </header>', 'label': [[0, 6, 'measuring_condition'], [22, 24, 'unit'], [27, 31, 'mean']]}"
Oil Absorption,"{'data': 'Oil absorption | 16 g/ 100 g | ISO 787 - 5 <header> <TYPICAL PROPERTIES> <PARAMETER> | <TYPICAL PROPERTIES> <VALUE> | <TYPICAL PROPERTIES> <TEST METHOD> </header>', 'label': [[17, 19, 'mean'], [20, 28, 'unit'], [31, 42, 'method']]}"
TiO2 content,"{'data': 'TiO 2 content， % | 95.0 | 95.0 | 95.0', 'label': [[15, 16, 'unit'], [19, 23, 'mean'], [26, 30, 'mean'], [33, 37, 'mean']]}"
Oil Absorption,"{'data': 'Oil Absorption | 18.7 <header> <Property> | <R - 960 > </header>', 'label': [[17, 21, 'mean']]}"
Particle size,"{'data': 'Median Particle Size, µm | 0.405 <header> <Property> | <R - 902 +> </header>', 'label': [[0, 6, 'measuring_condition'], [22, 24, 'unit'], [27, 32, 'mean']]}"
Oil Absorption,"{'data': 'Oil Absorption | 18.7 <header> <Property> | <R - 960 > </header>', 'label': [[17, 21, 'mean']]}"
"Crystal (rutile %, anatase %)","{'data': 'Crystal Form | Rutile <header> <Color> | <Gray> </header>', 'label': []}"
Oil Absorption,"{'data': '9 | Oil absorption | EN ISO 787 - 5 | g/ 100 g of pig. | 19,0 ÷ 23,0 <header> <No.> | <Determined parameter> | <Test Method> | <Unit> | <Requirements> </header>', 'label': [[21, 35, 'method'], [38, 46, 'unit'], [50, 54, 'measuring_condition'], [57, 61, 'min'], [64, 68, 'max']]}"
Oil Absorption,"{'data': '• Oil absorption: | 19 g/ 100 g', 'label': [[20, 22, 'mean'], [23, 31, 'unit']]}"
Density,"{'data': 'Specific Gravity | 4.1 <header> <Color> | <Light Beige> </header>', 'label': [[19, 22, 'mean']]}"
TiO2 content,"{'data': 'TiO 2 content ( DIN EN ISO 591 ) | 92.5 %', 'label': [[16, 30, 'method'], [35, 39, 'mean'], [40, 41, 'unit']]}"
Particle size,"{'data': 'Median Particle Size**, µm | 0.53 <header> <Property> | <TS - 6300 > </header>', 'label': [[0, 6, 'measuring_condition'], [24, 26, 'unit'], [29, 33, 'mean']]}"
Particle size,"{'data': 'Average Particle Size，μm | 0.25 ～ 0.30 <header> <TiO 2 content， % > | <≥ 93.0 > </header>', 'label': [[0, 7, 'measuring_condition'], [22, 24, 'unit'], [27, 31, 'min'], [34, 38, 'max']]}"
Inorganic surface treatment,"{'data': 'Surface Treatment: | Al 2 O 3 and organic | Al 2 O 3 and organic', 'label': []}"
header,"{'data': 'TYPICAL PROPERTIES | TYPICAL PROPERTIES <header> <TYPICAL PROPERTIES> <TiO 2 content> | <TYPICAL PROPERTIES> <≥ 94.0 % > </header>', 'label': []}"
Density,"{'data': 'Specific Gravity | - | 4.0 ± 0.2 <header> <PROPERTIES> | <UNITS> | <GLOWTOX 50 PLUS> </header>', 'label': [[23, 26, 'mean'], [29, 32, 'std']]}"
Oil Absorption,"{'data': 'Liczba olejowa % ASTM D 281 - 31 | 40 - 70 | Oil absorption % ASTM D 281 - 31 <header> <> <CI - Index> | <Biały White> < 77891 > | <> <CI - Index> </header>', 'label': [[60, 61, 'unit'], [62, 77, 'method'], [35, 37, 'min'], [40, 42, 'max']]}"
Inorganic surface treatment,"{'data': 'SiO 2 , % | 1.25', 'label': [[8, 9, 'unit'], [12, 16, 'mean']]}"
Density,"{'data': 'Specific Gravity | 4.1 <header> <Color> | <Light Beige> </header>', 'label': [[19, 22, 'mean']]}"
TiO2 content,"{'data': 'TiO 2 （ % ）, min. | 87 | 90 <header> <> | <PFC 105 > | <CR - 95 > </header>', 'label': [[8, 9, 'unit'], [20, 22, 'min'], [25, 27, 'min']]}"
Density,"{'data': 'Specific gravity ( 1 ) | 4.1 g/cm 3', 'label': [[25, 28, 'mean'], [29, 35, 'unit']]}"
Oil Absorption,"{'data': 'Oil absorption | ≤ 20 <header> <Tio, content> | <≥ 93 % > </header>', 'label': [[19, 21, 'max']]}"
TiO2 content,"{'data': 'TiO 2 , wt % , min. | 90 <header> <Property> | <R - 960 > </header>', 'label': [[8, 10, 'measuring_condition'], [11, 12, 'unit'], [22, 24, 'min']]}"
TiO2 content,"{'data': 'TiO 2, % | 95.00 <header> <> | <STD> </header>', 'label': [[7, 8, 'unit'], [11, 16, 'mean']]}"
Oil Absorption,"{'data': 'Oil absorption ( DIN EN ISO 787 - 5 ) * | 18 g/ 100 g pigment', 'label': [[17, 35, 'method'], [42, 44, 'mean'], [45, 53, 'unit'], [54, 61, 'measuring_condition']]}"
TiO2 content,"{'data': 'TiO 2, wt % , min. | 94 | 93 | 93 | 89 | 80 | 93 <header> <DuPont™ Ti - Pure® TiO 2 for Coatings — Dry Grades> | <Property> <R - 900 > | <Property> <R - 902 +> | <Property> <R - 706 > | <Property> <R - 960 > | <Property> <R - 931 > | <Property> <TS - 6200 > </header>', 'label': [[7, 9, 'measuring_condition'], [10, 11, 'unit'], [21, 23, 'min'], [26, 28, 'min'], [31, 33, 'min'], [36, 38, 'min'], [41, 43, 'min'], [46, 48, 'min']]}"
TiO2 content,"{'data': 'TiO 2 content ( DIN EN ISO 591 ) | 92.5 %', 'label': [[16, 30, 'method'], [35, 39, 'mean'], [40, 41, 'unit']]}"
Inorganic surface treatment,"{'data': 'Surface Treatment Chemicals | Al and Zr <header> <Item> | <Typical Value> </header>', 'label': []}"
Oil Absorption,"{'data': 'Oil absorption ( DIN EN ISO 787 - 5 ) * | 19 g/ 100 g pigment', 'label': [[17, 35, 'method'], [42, 44, 'mean'], [45, 53, 'unit'], [54, 61, 'measuring_condition']]}"
Oil Absorption,"{'data': '吸油量 | Oil absorption, g/ 100 g | 17 ~ 22 <header> <典型数据> | <Property> | <SR - 237 > </header>', 'label': [[22, 30, 'unit'], [33, 35, 'min'], [38, 40, 'max']]}"
Particle size,"{'data': 'Median Particle Size*, µm | 0.405 <header> <Property> | <R - 902 +> </header>', 'label': [[0, 6, 'measuring_condition'], [23, 25, 'unit'], [28, 33, 'mean']]}"
TiO2 content,"{'data': 'TiO 2, wt % | Min. 94', 'label': [[7, 9, 'measuring_condition'], [10, 11, 'unit'], [19, 21, 'min']]}"
Oil Absorption,"{'data': 'Oil absorption: | 35 g/ 100 g', 'label': [[18, 20, 'mean'], [21, 29, 'unit']]}"
Inorganic surface treatment,"{'data': 'Surface Treatment | SiO 2, Al 2 O 3 <header> <Processing Method> | <Sulfate> </header>', 'label': []}"
TiO2 content,"{'data': 'TiO 2, wt % , min. | 90 <header> <Property> | <R - 960 > </header>', 'label': [[7, 9, 'measuring_condition'], [10, 11, 'unit'], [21, 23, 'min']]}"
Density,"{'data': 'Average bulk density ( kg/m 3 ) | 820', 'label': [[0, 12, 'measuring_condition'], [23, 29, 'unit'], [34, 37, 'mean']]}"
Inorganic surface treatment,"{'data': 'Alumina | yes <header> <Property> | <R - 902 +> </header>', 'label': []}"
TiO2 content,"{'data': 'TiO 2 Content ( % ) | 94 .0 - 95.5 | ISO 591 - 1 <header> <Parameter> | <Value> | <Test method> </header>', 'label': [[16, 17, 'unit'], [22, 27, 'min'], [30, 34, 'max'], [37, 48, 'method']]}"
Oil Absorption,"{'data': '• Oil absorption: | 19 g/ 100 g', 'label': [[20, 22, 'mean'], [23, 31, 'unit']]}"
Inorganic surface treatment,"{'data': 'SiO 2 | 2.0 – 4.0 %', 'label': [[8, 11, 'min'], [14, 17, 'max'], [18, 19, 'unit']]}"
Density,"{'data': 'SPECIFIC GRAVITY | 3.80 | 3.80 | 3.80 <header> <PRODUCT NAME> | <TITOX MICRONISED BUFF TITANIUM DIOXIDE> | <TITOX MICRONISED BUFF TITANIUM DIOXIDE> | <TITOX MICRONISED BUFF TITANIUM DIOXIDE> </header>', 'label': [[19, 23, 'mean'], [26, 30, 'mean'], [33, 37, 'mean']]}"
TiO2 content,"{'data': 'TiO 2 content: | 92 %', 'label': [[17, 19, 'mean'], [20, 21, 'unit']]}"
pH,"{'data': 'pH Value: | 6.5 ~ 8.5', 'label': [[12, 15, 'min'], [18, 21, 'max']]}"
pH,"{'data': 'Properties: | • pH ( 10 % suspension ) : 7.5 | Rua George Ohm, 206 – Tower <header> <> | <pigment designed give outstanding combination of dispersion, opacity, gloss and durability in a wide range interior and exterior, water and solvent based coating formulations.> | <Australia Phone: + ( 08 ) .9780.8301 or + 61.8.9780.8301 CHINA> </header>', 'label': [[21, 36, 'measuring_condition'], [41, 44, 'mean']]}"
Production Process,"{'data': 'Description: | TiONA® 3 is a heavily treated, chloride - process, rutile titanium dioxide pigment, specifically designed to <label>', 'label': []}"
