text,label,jsonl_data
"Bulking Value, L/kg (gal/lb) | 0.275 (0.033) ",irrelevant,
"Viscosity, Brookfield at 25 cP | 150 | 250 | 150 ",irrelevant,
TiO2 content (DIN EN ISO 591) | 95% ,TiO2 content,
Rutile crystal content | ≥ 97.0% | ≥ 97.0%,"Crystal (rutile %, anatase %)",
"Grit, Unbrushed, wt%, 325 mesh | 0.010 | 0.010 | 0.015 ",irrelevant,
TYPICAL PROPERTIES | TYPICAL PROPERTIES,irrelevant,
TiO2 content % | Typical Properties1 93,TiO2 content,
Specific Gravity (g/cm3) | 4.1 | 4.1,Density,
"Main features | Manufactured by advanced techniques introduced abroad, according to international high-grade rutile TiO2 standard, surface treated with both inorganic and organic compounds, narrow particle size distribution, good whiteness, fine dispersibility and weather resistance. ",irrelevant,
"平均粒径,μm | 0.275",irrelevant,
kenndaten | Aluminiumverbindungen,irrelevant,
Specific Gravity | 3.9 ,Density,
Loss on drying | Loss on drying | 2.0 max | 2.0 max | 1.5 max ,irrelevant,
OIL ABSORPTION PHR | 27.19 ,Oil Absorption,
"3 | Residue on sieve of 45 microns | EN ISO 787-18 | % w/w | max. 0,02 ",irrelevant,
"Bulk Density (Tap), lbs. / ft.3 | 65",Density,
Specific gravity [g/cm3 ] | 4.1,Density,
"Kind of transport | Truck, railway car, ship ",irrelevant,
CAS No. | 13463-67-7 ,irrelevant,
CONEG + As + Sb + Zn | < 100 ppm,irrelevant,
"Properties: | Surface treatment: | Alumina, organic",irrelevant,
Typical | • TiO2 content: 92% | • TiO2 content: 92% | • TiO2 content: 92%,TiO2 content,
"TiO2（%）, min. | 87 | 90 ",TiO2 content,
Rutile | % | 98 IV ,"Crystal (rutile %, anatase %)",
ISO 591 classification | R2,irrelevant,
specifications TiO2 Content | 94.9% ,TiO2 content,
"Dispersibility (Hegeman index) :unselected: | 5.00, min ",irrelevant,
Typical | • TiO2 content | 95%,TiO2 content,
Density: | 4.0,Density,
Crystal size | 0.25µm ,irrelevant,
Inorganic coating Organic treatment Crystal size [μm] Specific gravity [g/cm3 ] Loss at 105°C(1) [%] Bulk density (tamped)(2) [g/cm3 ] Oil absorption(3) [cm3 /g pigment] Water demand(4) [cm3 /g pigment] Durability | Inorganic coating Organic treatment Crystal size [μm] Specific gravity [g/cm3 ] Loss at 105°C(1) [%] Bulk density (tamped)(2) [g/cm3 ] Oil absorption(3) [cm3 /g pigment] Water demand(4) [cm3 /g pigment] Durability | 1.1 ,multi,
"Bulk Density (Tap), kg/m3 | 1041 ",Density,
"Residue, 45um /% | ≤0.01 ",irrelevant,
Storage | Storage | To be stored in a closed warehouse.,irrelevant,
C.A.S No. | 13463-67-7,irrelevant,
ISO 591 classification | R2,irrelevant,
Volatile constituents at 105℃ (m/m) | ≤0.7%,irrelevant,
Volatile constituents at 105℃ (m/m) | ≤ 0.7%,irrelevant,
Specific Gravity，g/cm3 | 4.1 | 4.1 |,Density,
Resistivity | ≥ 80 Q.m ,irrelevant,
Quality management system | ISO 9001: 2000,irrelevant,
TYPICAL PROPERTIES: | TYPICAL PROPERTIES: | TYPICAL PROPERTIES: | TYPICAL PROPERTIES: ,irrelevant,
AL (Sample-standardª) | ≥-0.3,Inorganic surface treatment,
Hegman Grind ………………………………………………………………….. | 6.5 - 7.0,irrelevant,
Oil Absorption | 16.2 ,Oil Absorption,
L*a*b* |  |  ,irrelevant,
TiO2 content | 91.5% | XRF ,TiO2 content,
Carbon Black Undertone | 11.7 ,irrelevant,
Appearance | Appearance | White powder material,irrelevant,
TiO2 content % . . . . | 95,TiO2 content,
Processing Method | Sulfate ,Production Process,
Specific gravity (g/cm3) | 4.1,Density,
"TiO2 , wt%, min. | 93 ",TiO2 content,
Dry Film Color Brightness |  | DFC | ISO 787-16 | 97.5 - 98.3 ,irrelevant,
ASIA/PACIFIC | EUROPE | LATIN AMERICA | MIDDLE EAST/AFRICA/ISC | NORTH AMERICA ,irrelevant,
TiO2 Content: | 93% min,TiO2 content,
Specific Surface Area (m2/gr) | 35-45,irrelevant,
Production rutile pigment produced by the chloride process | Production rutile pigment produced by the chloride process ,Production Process,
and silicon | compounds,irrelevant,
Characteristic | Requirements ,header,
Colour index | Pigment White 6 (77891),irrelevant,
"Amorphous Silica, wt% | 5.5 ",Inorganic surface treatment,
"Specific resistance, Q-m | 80, min",irrelevant,
"Surface treatment |  | Al2 O3 , organic ",irrelevant,
Chemical Element | Titanium Dioxide (TiO2) - Rutile Type ISO591: R2 ISO Certified -,multi,
"L* value |  | 98,8 ± 0,3 ",irrelevant,
"Al2O3, % | 0.40 ",Inorganic surface treatment,
Loss at 105O C(1) | 0.6% | 0.6% ,irrelevant,
"Appearance | odourless, white powder",irrelevant,
"Applications | Architectural exterior coatings
Exterior industrial finishes
Powder coatings
Container coatings
Coil coatings
Ink :unselected:
:unselected:",irrelevant,
"Henderson, WA 6186 | 2830 Willebroek | São Paulo, SP 04707-910 | Jeddah 21414 | Hunt Valley, MD 21030 ",irrelevant,
Relative scattering force (ISO 787-24) | Close to standard sample (95-105) %,irrelevant,
TYPICAL PROPERTIES |,irrelevant,
"Median Particle Size, um | 0.50 ",Particle size,
Bulk | . 0.8 kg/l or 50 lbs/cu.ft.,stray,
"Median Particle Size, µm | 0.36 ",Particle size,
Specific Surface Area (m2 /g) | Specific Surface Area (m2 /g) | 65 - 85 | 40 - 50 | 40 - 60 ,irrelevant,
Quality management system | ISO 9001: 2000,irrelevant,
"Description: | 595 is a high performance, multipurpose chloride-process | Lot 350 Old Coast Road | Australind WA 6233",Production Process,
Titanium dioxide | 13463-67-7 | 89-92 ,TiO2 content,
Typical Properties | Typical Properties,irrelevant,
Specific gravity: | 4.0,Density,
Characteristics | aluminium compounds,irrelevant,
11 | 金红石含量 | 金红石含量 | 金红石含量 ,irrelevant,
Crystal size | 0.24μm,irrelevant,
-,irrelevant,
"Specific resistance, kohm.cm | ... 8",irrelevant,
13 | 比重 | 比重 | 比重 ,irrelevant,
Specific Gravity (g/cm3) | 4.1,Density,
PH of the pigment (20% slurry) | : 6.00-8.00 | : 6.00-8.00,pH,
Al2O3 ……………………………………………………………………………....…. | 0.40%,Inorganic surface treatment,
pH | 7.2 ,pH,
Bulk denisity (tamped)(2) | 1.2 g/cm3 ,Density,
International standard | International standard | ISO 591-1: 2000,irrelevant,
Color | Beige ,irrelevant,
SiO2 | 2.0 – 4.0 %,Inorganic surface treatment,
Oil Absorption，g/100g | ≤19.5 ,Oil Absorption,
Rozkład wielkości ziarna % < 40 µm < 50 µm > 150 µm | max. 45 max. 5 | Particle size distribution % < 40 µm < 50 µm > 150 µm ,Particle size,
Organic Treatment | Yes ,irrelevant,
Specific Gravity | 4.0 ,Density,
"Oil absorption (ISO 787, Part 5) | 16-21 g/100 g",Oil Absorption,
Specifications | TU 2321-001-17547702-2014,irrelevant,
ASTM D476 | II,irrelevant,
"Product Specifications (excerpt) | Tone, grey (MAB HSC)4 5.5 – 6.4",irrelevant,
Specific gravity [g/cm3 ] |  | 4.0 ,Density,
Density | 33.3 lbs/gal,Density,
"particle size average | 0.26-0.30 |  | 0,26 ",Particle size,
Property | R-931 ,irrelevant,
Bulk density (tamped) [kg/m3 ] | 1000,Density,
Oil absorption | 19g/100g | ISO 787-5 ,Oil Absorption,
Type | Ⅱ,irrelevant,
"Appearance | Appearance | odourless, white powder ",irrelevant,
"Applications: CERTIFIED ISO 9002 | Tiona 595 is recommended for evaluation in: • Decorative coatings - Interior & exterior - Water- & solvent-based • General industrial coatings • Automotive, OEM and refinish • Powder coatings • Marine & protective coatings • Primers and undercoats • Low VOC/high solids formulations ",irrelevant,
Production | rutile pigment produced by the chloride process,Production Process,
Properties: | • pH (10% suspension): 8.5 | 04576-020 – São Paulo – SP - Brazil,pH,
PRODUCT TREATMENT: | PRODUCT TREATMENT: |,irrelevant,
TYPE | R-996,irrelevant,
Specific Gravity，g/cm3 | 4.1,Density,
"Whiteness, arb. unitsI |  | 96.5 – 97.5 | ISO 787-1 ",irrelevant,
Amorphous silica | 7631-86-9 | 2 - 4 ,Inorganic surface treatment,
System | ≤27.5um,irrelevant,
- | Disc Centrifuge – mean diameter (Dn): | 0.22 µm,Particle size,
Appearance | Appearance | White powder | White powder | White powder ,irrelevant,
"Whiteness power, arb. units, not less than | 2010",irrelevant,
Color CIE L* | 99.8 ,irrelevant,
ISO 591-1: 2000 | R2,irrelevant,
pH of aqueous suspension | 6.5~8.5 | 7.5 ,pH,
Loss at 105°C | 0.6%,irrelevant,
Color CIE L* | 99.6 ,irrelevant,
Durability | Durable,irrelevant,
Carbon Black Undertone | 11.6 ,irrelevant,
"53 Quill Way | Brielen 9 | Av. Roque Petroni Jr., 999, 12th Floor | P.O. Box 13586 | 20 Wight Avenue - Suite 100 ",irrelevant,
"Tone, grey (MAB HSC)4 | Tone, grey (MAB HSC)4 | 2 5.0 ",irrelevant,
Ciężar nasypowy g/l ± 5% DIN 53194 | 750 | Bulk density g/l ± 5% DIN 53194 ,Density,
Dispersibility in: |  ,irrelevant,
Production | rutile pigment produced by the chloride process,Production Process,
Loss at 105℃ | ≤ 0.5% ,irrelevant,
pH | 8.1 ,pH,
Bulk density (tamped)(1) | 1.1g/cm3,Density,
"Dispersibility, µm | 13 ",irrelevant,
Fineness of grind2) [um] | B 377 00 | B 377 00 | B 377 00 | < 15 ,irrelevant,
Specific gravity (g/cm3) | 3.9 - 4.2 | 4.10 ,Density,
pH | 8.0 | ISO 787-9 ,pH,
"Bulk density, kg/m3 | 800",Density,
CIE L- | 97.5-99.9 ,irrelevant,
Oil absorption (DIN EN ISO 787-5)* | 18 g/100 g pigment ,Oil Absorption,
Typical | • | TiO2 content: 94%,TiO2 content,
ASTM D 476 | Type II & III ,irrelevant,
Classification: | CAS Number 13463-67-7 | CAS Number 13463-67-7,irrelevant,
产品性能 | 产品性能,irrelevant,
Residue on 45um (ISO 787-18) | 0.01% ,irrelevant,
Product Characteristics | TiO2 content (ISO 591) > 92.5 % ,TiO2 content,
Residue（0.045mm screen） | % | ≤0.05 ,irrelevant,
颜色索引NO. | 白色颜料6(77891) | 白色颜料6(77891),irrelevant,
Category | ASTM D-476-84 II IV : ( ) ,irrelevant,
Oil Absorption ( ISO 787-5) | 19g/100g ,Oil Absorption,
Phone: +61.8.9411.1222 | Phone: +32.3.860.4800 | Phone: +55.11.3296.1500 | Phone: +966.2.224 8000 | Phone: +1.410.229.4441 ,irrelevant,
pH | 6.0-9.0 ,pH,
"1) Reference pigment standard TiO2 = 100, PVC = 17% 2) with high shearing forces (alkyd resin) | 1) Reference pigment standard TiO2 = 100, PVC = 17% 2) with high shearing forces (alkyd resin) | 1) Reference pigment standard TiO2 = 100, PVC = 17% 2) with high shearing forces (alkyd resin) | 1) Reference pigment standard TiO2 = 100, PVC = 17% 2) with high shearing forces (alkyd resin) |  ",irrelevant,
筛余物 | Residue | %≤ 0.01 ,irrelevant,
"Bulking Value, L/kg (gal/lb) | 0.25 (0.03) ",irrelevant,
"Average particle size2, (um). . . |  |  | 0.23",Particle size,
TiO2 content (m/m) | ≥ 94.0% | ≥ 94.0%,TiO2 content,
Crystal Structure | Crystal Structure | Rutile | Rutile | Rutile ,"Crystal (rutile %, anatase %)",
Bulk Density | 1.3g/cm3,Density,
- | Light Scatter – calculated mean (OD): | 0.31 µm,irrelevant,
"Post-treatment | Al, polyol | Al, polyol ",irrelevant,
Density (DIN EN ISO 787-10)* | 4.1 g/cm3 ,Density,
Phone: +61.8.9411.1222 | Phone: +32.3.860.4800 | Phone: +55.11.3296.1500 | Phone: +966.2.652.9966 | Phone: +1.410.229.4441 ,irrelevant,
"Odour | & Texture content,%",irrelevant,
Oil Absorption (g/100g) | Oil Absorption (g/100g) | 40 - 50 | 35 - 45 | 30 - 40 ,Oil Absorption,
PH | 6.0-8.5,pH,
Chemical Abstracts Number (CAS) | 13463 -67-7 | -- ,irrelevant,
"Oil absorption, g/100g of pigment |  | 16 – 19 | ISO 787-5 ",Oil Absorption,
OIL ABSORPTION PHR | 27.19 | 27.19 | 27.19 ,Oil Absorption,
Moisture when packed [%] | max | 0.5,irrelevant,
"Wood finishes | ................................................................................................................................ Colour, opacity. Stable viscosity in acidic media ",irrelevant,
Średnia wielkość ziarna µm | 50 - 70 | Medium Particle Size µm ,Particle size,
"Purity TiO2 | 90 |  | 92,42 ",TiO2 content,
Company standart | Company standart | 24.1-05762329-001-2003,irrelevant,
Bulk density [kg/m3 ] | 800,Density,
"Henderson, WA 6186 | 2830 Willebroek | São Paulo, SP 04707-910 | Jeddah 21414 | Hunt Valley, MD 21030 ",irrelevant,
产品性能 | 产品性能,irrelevant,
Classification ISO591，DIN55912 | R2,irrelevant,
MAB Relative Tinting Strength |  | MAB | ISO 787-24 | 90.0 - 98.0 ,irrelevant,
Contents: | TiO2 % | TiO2 % | ≥ | 93 |,TiO2 content,
Oil Absorption (g. Oil/100g) | 24 ,Oil Absorption,
• Specific gravity: | 4.1,Density,
Characteristic | Requirements ,header,
TiO2 content (m/m) | 93.0%,TiO2 content,
Opacity Strength | Low ,irrelevant,
Bulking value* | 0.0304 lb/gal,Density,
TiO2 content (DIN EN ISO 591) | 92.5%,TiO2 content,
TiO2 content | 94%,TiO2 content,
Brightness | % | ≥94 ,irrelevant,
"RutileContent(%), min. | >99.0 ","Crystal (rutile %, anatase %)",
"PBB, PBDE | PBB, PBDE | PBB, PBDE | Not Include",irrelevant,
ISO 591-1:2000 . . . . . . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .R2,irrelevant,
Rutile | % | ≥ | 98 | 98,"Crystal (rutile %, anatase %)",
CAS No. | 13463-67-7,irrelevant,
Oil absorption(3) | 20 cm3/100g pigment ,Oil Absorption,
Product Characteristics | Production rutile pigment produced by the chloride process ,Production Process,
"Alumina, wt% | 3.3 ",Inorganic surface treatment,
Production Process. | Rutile Titanium dioxide pigment produced by sulfate process,Production Process,
Product Specifications (excerpt) | Product Specifications (excerpt) | Compliance with the following product specifications is currently checked and is the prerequisite for a release of the finished product.,irrelevant,
Specific Surface Area (m2 /g) | Specific Surface Area (m2 /g) | 65 - 85 | 40 - 50 | 40 - 60 ,irrelevant,
ISO 591 classification | R2 ,irrelevant,
Specific Gravity | 3.9 ,Density,
"Regulatory Status: | Due to the wide range of applications for TiONA® 595, this subject is too diverse to cover adequately in a technical datasheet. Declarations of conformity can be provided on request. Please contact your Cristal sales representative. | Phone: +966.12.224.8000 Fax: +966.12.606.9087 NORTH AMERICA 6752 Baymeadow Drive Glen Burnie, MD 21060 USA Phone: +1.410.229.4441 ",irrelevant,
Surface treatment aluminium | compounds ,irrelevant,
Residue on sieve of 45 um (m/m) | ≤0.03%,irrelevant,
"Inorganic Surface Treatment | SiO2, Al2O3 ",Inorganic surface treatment,
"Fe2O3, % | < 2.0 ",irrelevant,
" | pigment designed give outstanding combination of dispersion, opacity, gloss and durability in a wide range interior and exterior, water and solvent based coating formulations. | Australia Phone: +(08).9780.8301 or +61.8.9780.8301 CHINA ",irrelevant,
Surface Treatment | Organic treated | Organic treated ,irrelevant,
"Bulking Value, L/kg | 0.250 | 0.250 | 0.250 | 0.250 | 0.255 | 0.275 ",irrelevant,
"Residue on 45um, % :unselected: | 0.03, max ",irrelevant,
TYPICAL TECHNICAL DATA,irrelevant,
Production | rutile pigment produced by the chloride process,Production Process,
PRODUCT NAME | TITOX MICRONISED BUFF TITANIUM DIOXIDE | TITOX MICRONISED BUFF TITANIUM DIOXIDE | TITOX MICRONISED BUFF TITANIUM DIOXIDE ,irrelevant,
"TiO2 , wt%, min. | 80 ",TiO2 content,
Mull Dispersibility % | Mull Dispersibility % | ≥6.0 | ≥6.0 ,irrelevant,
Organic Surface Treatment | Yes ,irrelevant,
"PBB, PBDE | PBB, PBDE | PBB, PBDE | Not Include | Not Include | Not Include",irrelevant,
"Product Characteristics | Volatile at 105℃, % ≤0.8",irrelevant,
Tinctorial power | ≥ 1900,irrelevant,
"Inorganic coating | Alumina, Zirconia",irrelevant,
Organic treatment | present ,irrelevant,
Production rutile pigment produced by the chloride process | Production rutile pigment produced by the chloride process ,Production Process,
"SP.RES | Specific Resistance, a measure of the amount of water soluble salts in the Titanium Dioxide pigment ",irrelevant,
Particle Size（µm） | 0.28 | 0.28 ,Particle size,
"Inorganic coating | Alumina, Zirconia ",irrelevant,
"Applications: | TiONA® 595 is recommended for evaluation in: • Decorative architectural coatings - interior and exterior • Water and solvent-based Industrial coatings • General industrial coatings • Automotive, OEM and refinish • Powder coatings | Brielen 9 2830 Willebroek ",irrelevant,
Typical Properties: | • | TiO2 content | 93%,TiO2 content,
REACH Registration No. | 01-2119489379-17-xxxx,irrelevant,
检验人：朱莲萍 | 复核人：李蕴含 |  | 审核人：茹明 ,irrelevant,
max | 0.01,stray,
Resistivity of water extraction（ISO 787-14） | 150Ω•m ,irrelevant,
approx. | 220,stray,
Tint Strength | 595 | 3LP 0508 ,irrelevant,
CAS No. | 13463-67-7,irrelevant,
"Bulking Value, L/kg (gal/lb) | 0.255 (0.031) ",irrelevant,
Tinctorial power-Reynolds Number | 1710 Min. | 1770 ,irrelevant,
Description: | RCL9 is a versatile multipurpose chloride-process rutile titanium dioxide pigment designed to,Production Process,
Specific gravity: | 4.0,Density,
Australia | Belgium | Brazil | Kingdom of Saudi Arabia | USA ,irrelevant,
"Applications: | TiONA® 880 is recommended for evaluation in: • Critical exterior weathering applications • Water and solvent based coatings • Architectural roof coatings • Coil coatings • Marine and protective coatings | • Powder coatings • Automotive, OEM and refinishing systems • Industrial maintenance coatings • Aerospace coatings • Durable PVC plastics",irrelevant,
TiO2 content (DIN EN ISO 591) | 94%,TiO2 content,
Volatile constituents at 105℃ (m/m) | ≤0.7%,irrelevant,
"Emulsion Gloss, 60° at 27 PVC | NA | 43 | NA ",irrelevant,
"Grit, Unbrushed, wt%, 325 mesh | 0,010 | 0.010 | 0.015 ",irrelevant,
"Residue on sieve 0045 mesh, %, max. | 0,01 | GOST 9808; GOST 21119.4; ISO 787-7, ISO 787-18 ",irrelevant,
TiO2 (%) | TiO2 (%) | 80 min. | 85 min. | 85 min. ,TiO2 content,
Durability | Gloss retention | Excellent | Excellent | Excellent ,irrelevant,
Typical Properties | Composition - TiO2 92.0% | Composition - TiO2 92.0% | Composition - TiO2 92.0% ,TiO2 content,
Average Particle Size Average Particle Size Particle Size(μm) | 0.2~0.4 ,Particle size,
"14 | Master standard sample | 6 months | Tinting Strength, Color (Whiteness) ",irrelevant,
Color | Gray ,irrelevant,
content [%] | min | 93,stray,
"Resistance at 30°C (86°F) (1,000 ohm) | 6 ",irrelevant,
"Volatile matters, % | 0,5",irrelevant,
Tapped Density | g/l | 675 ± 20 ,Density,
Treatment | Yes,irrelevant,
Partikelverteilung % < 28 µm | 70 - 85 10 - 20 max. 2 | 70 - 85 10 - 20 max. 2 | 70 - 85 10 - 20 max. 2 | Particle size distribution % < 28 µm ,Particle size,
BS 1851/ISO 591/DIN 55912 | R2 | R2 | R2 | R3 | R3 | R3 ,irrelevant,
C.A.S No. | 13463-67-7,irrelevant,
AL'(Sample-standardª) | ≥-0.3,irrelevant,
Organic treatment | present ,irrelevant,
Property | R-960 ,irrelevant,
"Properties: | • pH (10% suspension): 7.5 | Rua George Ohm, 206 – Tower A ",pH,
Loss at 105O C(1) | 0.6% ,irrelevant,
Status | White powder,irrelevant,
Organic Treatment | Yes 99.6,irrelevant,
无机包膜 | Inorganic coating | 锆、铝 Zr.Al ,irrelevant,
Product Characteristics | Production rutile pigment produced by the chloride process ,Production Process,
"10 | 分散性(μｍ) | 分散性(μｍ) | gauge with given dispersing formula, ICI China provide the test method. ",irrelevant,
Properties Product Characteristics | Properties Product Characteristics | Production rutile pigment produced by the sulphate process,Production Process,
Crystal size | 0.24µm ,irrelevant,
Technical Data Sheet for Rutile Grade: RM-1 | Technical Data Sheet for Rutile Grade: RM-1,irrelevant,
Residue on sieve of 45 um (m/m) | ≤0.05% | ≤0.05%,irrelevant,
min | 93,irrelevant,
"Packing | Paper bags 25 kg. Big Bags: 500, 1000 kg.",irrelevant,
有机包膜 | Organic treatment | Yes ,irrelevant,
Resistivity (_2/cm) | ≥ 10000,irrelevant,
油分散性(赫格曼值) |  | ≥6.5 ,irrelevant,
Items | Units | Index ,header,
"Main Modifiers | Main Modifiers | Al2O3, ZrO2 | Al2O3, ZrO2 | Al2O3, ZrO2 ","Crystal (rutile %, anatase %)",
Color CIE L* | 100.0 ,irrelevant,
Volatility at 105 ℃ | % | 0.8 VI ,irrelevant,
ST-21 | high dispersibility | 95 | 20 | 50 | 3.0 ,irrelevant,
Specific Gravity | ..... 4.0,Density,
"1a | of which rutile | ASTM D3720-90 | % w/w | min. 98,5 ","Crystal (rutile %, anatase %)",
Dry Blending Operations | Good ,irrelevant,
"ASTM D476 designation | ................................................................................................................................ II, III, IV",irrelevant,
"Packing | 25kg per paper bag 1000kg per woven bag. , ",irrelevant,
Volatile constituents at 105℃ /% | ≤0.5 ,irrelevant,
Oil absorption (DIN EN ISO 787-5)* | 18 g/100 g pigment,Oil Absorption,
Typical • TiO2 content: | 82%,TiO2 content,
Specific gravity (g/cm3) | 4.1,Density,
"Tint Reducing Power (Compared With Reference Samplea ),% | 100 ",irrelevant,
TiO2 Content | 93%,TiO2 content,
Fineness( 45µm sieve residue) % | Fineness( 45µm sieve residue) % | Fineness( 45µm sieve residue) % | Fineness( 45µm sieve residue) % | ≤0.03 ,irrelevant,
"Surface treatment: | Alumina, silica, organic",irrelevant,
Color L | Color L | 95.4 | 95.9 ,irrelevant,
Thermische Stabilität bei 120 °C | beständig / stable | beständig / stable | beständig / stable | Thermal stability at 120 °C ,irrelevant,
"Mass fraction of volatile matters, than Mass fraction of water-soluble matters, more than Water suspension pH | 0,2 7,6",irrelevant,
TiO2 content (DIN EN ISO 591) | 92.5%,TiO2 content,
Specific Gravity | 4.0,Density,
Structure | Rutile,"Crystal (rutile %, anatase %)",
"Applications: | TiONA® 826 is recommended for evaluation in: • Interior and exterior coatings • Water and solvent-based coatings • Architectural coatings • Industrial coatings • Automotive, OEM and refinish | • Powder coatings • Marine and protective coatings • Low VOC/ high solids coatings • Durable PVC plastics",irrelevant,
Key Features: | • Designed for flat/matt paint products • Excellent brightness • High tint strength • Exceptional dry-hide opacity above CPVC • Excellent storage stability | Pudong New Area Shanghai 200120 P.R. China Phone: +86.21.6100.6288 Fax: +86.21.6886.5955,irrelevant,
"Properties: | • Surface treatment: Alumina, silica | Rua George Ohm, 206 – Tower A",irrelevant,
Oil absorption (DIN EN ISO 787-5)* | 17 g/100 g pigment ,Oil Absorption,
pH | 8.9 ,pH,
Durability | Discoloration | Excellent | Excellent | Excellent ,irrelevant,
Rutile crystal content | ≥ 98.0%,"Crystal (rutile %, anatase %)",
Durability | Moderate,irrelevant,
Sieve residue (325 mesh) [%] | max | 0.01,irrelevant,
max | 0.5,stray,
Organic Treatment | Yes,irrelevant,
比重(g/cm3) | 4.1,stray,
Bulk density (tamped) [kg/m3 ] | 1000,Density,
Australia | Belgium | Brazil | Kingdom of Saudi Arabia | USA ,irrelevant,
 | • Marine and protective coatings • Low VOC/high solids formulations | Belgium Phone: +32.3.860.4800 Fax: +32.3.860.4801 ,irrelevant,
TiO2 content | 93% | 93% ,TiO2 content,
Resistance | （Ω ﹒㎝） | ≥ | 7000 ,irrelevant,
Product Specifications (excerpt) | Brightness (DFC L*)1 97.5 – 98.3 ,irrelevant,
"Applications: CERTIFIED ISO 9002 | Tiona® is a registered trademark of Millennium Chemicals in the United States and other countries around the world. Unless otherwise restricted by applicable law, nothing contained in this literature shall be deemed a representation or warranty of any kind, either expressed or implied. The recommendations and suggestions given in this literature are presented for your own investigation and verification. Products discussed are sold only on the basis of conforming to specifications, but without warranty, expressed or implied, in law or in fact, of merchantability or fitness for a particular purpose and upon the condition that purchasers make their own tests to determine the suitability of such products for their particular purposes. Statements concerning the possible use of our products or processes described are not intended as recommendations or permission to use the same in the infringement of any patent, or to practice a patented invention without a license. By reason of lack of knowledge as to specific end uses of this product, no representation or warranty is made as to the conformance of the product with food contact laws or regulations. See the Material Safety Data Sheets (MSDS) for this product for safety information prior to use. This document does not constitute a specification. Product specifications are available on request. www.millenniumchem.com 08/02 AMERICAS ASIA/PACIFIC EUROPE, MIDDLE EAST AND AFRICA 200 International Circle, Suite 5000 Lot 550 Avenue Ariane 5, 2nd Floor Hunt Valley, MD 21030 Cockburn Road Brussels B. 1200 Belgium ",irrelevant,
Asb | ≤0.5,irrelevant,
"Amorphous Silica, wt% | — ",Inorganic surface treatment,
Oil Absorption | 15.2 ,Oil Absorption,
Type | R838 | quantity | 800*25kg ,irrelevant,
PH | 6.0-9.0 ,pH,
