label,jsonl_data
Active %,"{'data': 'Purity | % by weight | 99.8 min <header> <PROPERTY> | <UNIT> | <SPECIFICATION> </header>', 'label': [[9, 10, 'unit'], [11, 20, 'measuring_condition'], [23, 27, 'min']]}"
Flash point,"{'data': 'Flash point ( Closed Cup ) | 250 °F | 121 °C', 'label': [[14, 24, 'measuring_condition'], [29, 32, 'mean'], [33, 35, 'unit'], [38, 41, 'mean'], [42, 44, 'unit']]}"
Boiling point,"{'data': 'Dry point °C | | | - - - - - - | 132 | 130 <header> <> | <NORM> <ASTM> | <NORM> <IRAM> | <GUARANTEED> <> | <GUARANTEED> <MINIMUM MAXIMUM> | <GUARANTEED> <TYPICAL> </header>', 'label': [[10, 12, 'unit'], [33, 36, 'max'], [0, 9, 'measuring_condition']]}"
Water Content,"{'data': 'Water, % by wt ( D - 1364 ) | 0.05 max <header> <> | <SPECIFICATIONS> </header>', 'label': [[7, 8, 'unit'], [9, 14, 'measuring_condition'], [17, 25, 'method'], [30, 34, 'max']]}"
Acid content,"{'data': '4 | Acidity as acetic acid, 2 wt, % , max. | 0.01 | | IS 323 – 1959 <header> < 1 > < 2 > < 3 > <> <> < 4 > <> <> < 5 > < 6 > < 6 > < 6 > < 6 > | <Formula> <CAS Registry Numbers> <Molecular Weight> <Product Specifications> < 1 Purity, wt. % , min.> <Acidity as acetic acid, 2 wt, % , max.> < 3 Water, wt. % , max.> < 4 Color, APHA, max.> <Description> <Typical and Physical Properties> <Typical and Physical Properties> <Typical and Physical Properties> <Typical and Physical Properties> | <C 4 H 10 O> < 78 - 83 - 1 > < 74.1 > <Value> < 99 > < 0.01 > < 0.2 > < 10 > <Iso Butanol is a clear, mobile, neutral liquid with a characteristic odor. It is miscible with all common solvents but is only sparingly soluble in water.> <o Distillation range, C, 1 atm> <o Specific gravity @ 20 / 20 C> <Non - volatiles, wt. % , max.> <Appearance Clear & Colorless> | <> <> <> <> <> <> <> <> <Iso Butanol is a clear, mobile, neutral liquid with a characteristic odor. It is miscible with all common solvents but is only sparingly soluble in water.> <o Distillation range, C, 1 atm> <o Specific gravity @ 20 / 20 C> <Non - volatiles, wt. % , max.> <Appearance Clear & Colorless> | <> <> <> <Test Method> <GC> <IS 323 – 1959 > <IS 2362 - 1963 > <IS 4161 - 1967 > <Iso Butanol is a clear, mobile, neutral liquid with a characteristic odor. It is miscible with all common solvents but is only sparingly soluble in water.> < 106 – 108 > < 0.802 – 0.804 > < 0.01 > <Appearance Clear & Colorless> </header>', 'label': [[12, 26, 'measuring_condition'], [30, 32, 'measuring_condition'], [34, 35, 'unit'], [45, 49, 'max'], [54, 67, 'method']]}"
Boiling point,"{'data': 'Distillation @ 760 mm Hg | | ASTM D - 1078 E - 202 <header> <Property> | <Specifications> | <Test Method> </header>', 'label': [[0, 12, 'measuring_condition'], [15, 24, 'measuring_condition'], [29, 50, 'method']]}"
Water Content,"{'data': 'AGUA ( valor típico ) , ppm Water ( typical value ) , ppm | 15 <header> <. Ensayo> | <Límites> </header>', 'label': [[60, 62, 'mean'], [54, 57, 'unit'], [24, 27, 'unit']]}"
header,"{'data': 'Method | | Unit | Typical value | Specification <header> <Method> | <> | <Unit> | <Typical value> | <Specification> </header>', 'label': []}"
Acid content,"{'data': 'Acidity as acetic acid | Max 0.003 | Max 0.004 | % | GB/T 12717 - 91 <header> <Property> | <Value> <Premium Grade> | <Value> <Superior Grade> | <Unit> <Superior Grade> | <Method> <Superior Grade> </header>', 'label': [[29, 34, 'max'], [41, 46, 'max'], [49, 50, 'unit'], [53, 68, 'method'], [8, 22, 'measuring_condition']]}"
Boiling point,"{'data': 'Boiling point @ 760 mmHg, 1.01 bar | 446 °F | 230 °C', 'label': [[37, 40, 'mean'], [41, 43, 'unit'], [46, 49, 'mean'], [50, 53, 'unit'], [16, 34, 'measuring_condition']]}"
Boiling point,"{'data': 'Boiling Point | : 185 | ˚C <header> <Ethyl hexanol> | <: min. 99,5 wt.> | < % > </header>', 'label': [[18, 21, 'mean'], [24, 26, 'unit']]}"
header,"{'data': 'Properties | Minimum | Maximum | Unit | Test Method <header> <Properties> | <Minimum> | <Maximum> | <Unit> | <Test Method> </header>', 'label': []}"
header,"{'data': 'Property | Value | Unit | Test method <header> <Property> | <Value> | <Unit> | <Test method> </header>', 'label': []}"
Boiling point,"{'data': 'BP | | 87.4 °C ( 189.3 °F ) <header> <Boiling Point @ 760 mm Hg> | <> | < 112 - 119 °C ( 234 - 246 °F ) > </header>', 'label': [[7, 11, 'mean'], [12, 14, 'unit'], [17, 22, 'mean'], [23, 25, 'unit']]}"
Active %,"{'data': 'Purity, as total asters, Wt % | BRCP 4008 | 99.0 min. <header> <Properties> | <Test Methods> | <Sales Specifications> </header>', 'label': [[8, 27, 'measuring_condition'], [28, 29, 'unit'], [32, 41, 'method'], [44, 48, 'min']]}"
stray,"{'data': 'Initial Point | °C | ASTM D 86 | 195 | <header> <MEASURES> | <UNITS> | <MEASURES METHODS> | <GUARANTEED VALUES MINI MAXI> | <GUARANTEED VALUES MINI MAXI> </header>', 'label': [[21, 30, 'method'], [33, 36, 'mean']]}"
Boiling point,"{'data': ' | | | | FBP | degC | 183 - 200 | ASTM D 86 <header> <Typical Properties:> | <Property> | <Property> | <Property> | <Property> | <Unit> | <Value> | <Method> </header>', 'label': [[9, 12, 'measuring_condition'], [15, 19, 'unit'], [22, 25, 'min'], [28, 31, 'max'], [34, 43, 'method']]}"
Boiling point,"{'data': 'Distillation Range @ 760 mm Hg, °C | 106 – 108', 'label': [[21, 30, 'measuring_condition'], [32, 34, 'unit'], [37, 40, 'min'], [43, 46, 'max']]}"
Acid content,"{'data': 'Acid value ( mg KOH/g ) ( Acidemetry ) | ≤ 0.3 | 540 MA 3 C 21 <header> <Distribution ( % weight ) ( GC ) > | <Dimethyl glutarate : 57 – 67 Dimethyl succinate : 18 – 28 Dimethyl adipate : 8 – 22 > | < 540 MA 3 C 71 > </header>', 'label': [[13, 21, 'unit'], [26, 36, 'measuring_condition'], [43, 46, 'max'], [49, 62, 'method']]}"
Flash point,"{'data': 'Flash Point PMcc | °C | - | 45 | EN ISO 2719 <header> <Property> | <Unit> | <Specification> | <Typical> | <Method> </header>', 'label': [[12, 16, 'measuring_conditon'], [19, 21, 'unit'], [28, 30, 'mean'], [33, 44, 'method']]}"
Boiling point,"{'data': 'Dry point | °C | 118.0 | <header> <Further Properties> | <Units> | <Typical values> | <Test Methods> </header>', 'label': [[12, 14, 'unit'], [17, 22, 'mean'], [0, 9, 'measuring_condition']]}"
Active %,"{'data': 'Assay, min: | 99.8 | | % mass | GC <header> <Parameters> | <Min> | <Max> | <Units> | <Method> </header>', 'label': [[14, 18, 'min'], [23, 24, 'unit'], [25, 29, 'measuring_condition'], [32, 34, 'method']]}"
Boiling point,"{'data': 'Boiling Point @ 760 mmHg, 1.01 ar | 230 °C ( 446 °F ) <header> <Property> | <Value> </header>', 'label': [[16, 33, 'measuring_condition'], [36, 39, 'mean'], [40, 42, 'unit'], [45, 48, 'mean'], [49, 51, 'unit']]}"
Water Content,"{'data': 'Water, max | % mass | 0.03 | ASTM D 1364 | <header> <Properties> | <Units> | <Value> | <Test Method> | <> </header>', 'label': [[13, 14, 'unit'], [15, 19, 'measuring_condition'], [22, 26, 'max'], [29, 40, 'method']]}"
Water Content,"{'data': 'Water Conte it | % by weight | · 0.02 max <header> <PROPERTY> | <UNIT> | <SPECIFICATION> </header>', 'label': [[17, 18, 'unit'], [19, 28, 'measuring_condition'], [33, 37, 'max']]}"
Water Content,"{'data': 'Water | 0.15 Max | WT % | ASTM D 1364 | <header> <Test and Test Condition> | <Limit> | <Unit> | <Method> | <Note> </header>', 'label': [[8, 12, 'max'], [19, 21, 'measuring_condition'], [26, 37, 'method'], [22, 23, 'unit']]}"
Boiling point,"{'data': 'Dry Point ( DP ) | 399 | ºF | 204 ℃ | <header> <Properties> | <Typical Value> | < ( English ) > | <Typical Value ( SI ) > | <Test Based On> </header>', 'label': [[12, 14, 'measuring_conditon'], [19, 22, 'mean'], [30, 33, 'mean'], [25, 27, 'unit'], [34, 35, 'unit']]}"
Water Content,"{'data': 'Water, max: | | 0.15 | % wt | Karl Fischer <header> <Parameters> | <Min> | <Max> | <Units> | <Method> </header>', 'label': [[16, 20, 'max'], [25, 27, 'measuring_condition'], [23, 24, 'unit'], [30, 42, 'method']]}"
Aromatic content,"{'data': 'Aromatics content ( UV ) | EC - A - A 07 | mg/kg | | 100 <header> <Properties> | <Test Methods> | <Units> | <Lower Values> | <Upper Values> </header>', 'label': [[20, 22, 'measuring_conditon'], [27, 40, 'method'], [43, 48, 'unit'], [53, 56, 'max']]}"
Flash point,"{'data': 'Closed Cup Flash Point °F | 135', 'label': [[0, 10, 'measuring_condition'], [23, 25, 'unit'], [28, 31, 'mean']]}"
Water Content,"{'data': 'Water, wt | : 0.1 Max. | % | <header> <Grade> | <:Technical Grade> | <Spec. No.> | <: ISOPRACE / 2009 - 10 > </header>', 'label': [[7, 9, 'measuring_condition'], [14, 17, 'max'], [25, 26, 'unit']]}"
Boiling point,"{'data': 'Dry Point | 148 °C ( 298 °F ) <header> <Property> | <Typical Value, Units> </header>', 'label': [[12, 15, 'mean'], [16, 18, 'unit'], [21, 24, 'mean'], [25, 27, 'unit'], [0, 9, 'measuring_condition']]}"
Boiling point,"{'data': ""RMFI SH | Distillation 1 BP' @ 760 mmHg"", 'label': [[31, 39, 'measuring_condition']]}"
header,"{'data': 'Property | Test Method | Unit | Specification <header> <Property> | <Test Method> | <Unit> | <Specification> </header>', 'label': []}"
multi,"{'data': '200 | 443 | 0.7732 | | | <header> <T [ °C ] > | <Vapour pressure P [ mbar ] > | <Density r [ g/cm 3 ] > | <Thermal conductivity q [ mW/ ( m·K ) ] > | <Thermal conductivity q [ mW/ ( m·K ) ] > | <Viscosity p [ mPa·s ] > </header>', 'label': []}"
Water Content,"{'data': 'Water content | ppm | ASTM D 1744 | 250 | 250 <header> <MEASURES> | <UNITS> | <MEASURES METHODS> | <GUARANTEED VALUES MINI MAXI> | <GUARANTEED VALUES MINI MAXI> </header>', 'label': [[16, 19, 'unit'], [22, 33, 'method'], [36, 39, 'mean'], [42, 45, 'mean']]}"
header,"{'data': 'Typical Properties: Property | Unit | Value | Method', 'label': []}"
Aromatic content,"{'data': 'Aromatics | % vol. | ASTM D 1319 | 98.0 | | <header> <Property> | <Unit> | <Method> | <Min> | <Max> | <Notes> </header>', 'label': [[12, 13, 'unit'], [14, 18, 'measuring_condition'], [21, 32, 'method'], [35, 39, 'min']]}"
Boiling point,"{'data': 'Sales Specification | Distillation, IBP °C | 95 | | ASTM D 86 <header> <Data Sheet> | <Issued: 19 - Oct - 2007 > | <> | <> | <> </header>', 'label': [[36, 39, 'measuring_conditon'], [40, 42, 'unit'], [45, 47, 'mean'], [52, 61, 'method']]}"
Boiling point,"{'data': '| C | ___________________________________________________________________________________________________ | FINE DISTILLAZIONE - PUNTO SECCO ___________________________________________________________________________________________________ | | 250,0000 | | MASSIMO | | °C | |CQ 06 <header> <| |C/I|> | <| Descrizione analisi ___________________________________________________________________________________________________> | <___________________________________________________________________________________________________ | | - - - Valore> | <| Tolleranza | - - - + / - > | <| | UM> | <| | Metodo> </header>', 'label': [[108, 112, 'measuring_condition'], [276, 281, 'method'], [245, 253, 'max'], [270, 272, 'unit']]}"
Water Content,"{'data': 'Water | max. 0.10 | max. 0.10 | % ( w/w ) | DIN 51 777 / ASTM D 1364 ( mod. Karl - Fischer - Method ) | x <header> <Property> | <Limit> | <Limit> | <Unit> | <Test Method> | <PQR> </header>', 'label': [[13, 17, 'max'], [25, 29, 'max'], [44, 68, 'method'], [71, 99, 'measuring_condition'], [32, 33, 'unit'], [36, 39, 'measuring_condition']]}"
Acid content,"{'data': 'Acidity y, as Acetic a cid | wt % | ASTM D 1613 | 0.0004 <header> <Proper rty> | <Unit S> | <Meth hod> | <Ty p ical values> </header>', 'label': [[29, 31, 'measuring_condition'], [32, 33, 'unit'], [36, 47, 'method'], [50, 56, 'mean'], [11, 26, 'measuring_condition']]}"
header,"{'data': 'Test and Test Condition | Limit | Unit | Method | Note <header> <Test and Test Condition> | <Limit> | <Unit> | <Method> | <Note> </header>', 'label': []}"
Flash point,"{'data': 'Flash Point, ℃ ( TCC ) | ASTM D 56 | 6 <header> <PROPERTIES> | <TEST METHOD> | <TYPICAL> </header>', 'label': [[13, 14, 'unit'], [17, 20, 'measuring_condition'], [25, 34, 'method'], [37, 38, 'unclear_value']]}"
Water Content,"{'data': 'Water, % by wt ( D - 1364 ) | 0.10 max <header> <> | <SPECIFICATIONS> </header>', 'label': [[7, 8, 'unit'], [9, 14, 'measuring_condition'], [17, 25, 'method'], [30, 34, 'max']]}"
Aromatic content,"{'data': 'Aromati c content | wt % % | UV 1 | 0.01 max <header> <Propert y> <Appeara ance> | <Unit ts> < - > | <Method> <EC A A 01 - - > | <S Specificatio n> <Bright & Clea ar> </header>', 'label': [[23, 24, 'unit'], [25, 26, 'unit'], [29, 33, 'method'], [36, 40, 'max'], [20, 22, 'measuring_condition']]}"
Boiling point,"{'data': ' | I.B.Pt. | 155 | 155 | | 158 <header> <Method> | <Method Name> | <Minimum> | <Minimum> | <Maximum> | <Typical> </header>', 'label': [[3, 10, 'measuring_conditon'], [13, 16, 'min'], [19, 22, 'min']]}"
Water Content,"{'data': 'Water, wt. % , max. | 0.10 | ASTM E - 202 ; E - 203 <header> <Property> | <Specifications> | <Test Method> </header>', 'label': [[7, 10, 'measuring_condition'], [11, 12, 'unit'], [22, 26, 'max'], [29, 51, 'method']]}"
Water Content,"{'data': '- of water | max. 0.1 | % | DIN 51777 part 1 <header> <PROPERTY> | <VALUE> | <UNIT> | <TEST METHOD> </header>', 'label': [[18, 21, 'max'], [24, 25, 'unit'], [28, 44, 'method']]}"
Water Content,"{'data': 'Water | : max. 0,05 % W/W : max. 0,001 g/ 100 ml : max. 0,2 % wt', 'label': [[33, 38, 'max'], [39, 48, 'unit'], [56, 59, 'max'], [60, 61, 'unit'], [62, 64, 'measuring_condition'], [10, 25, 'measuring_condition']]}"
Water Content,"{'data': 'Water | max. | 0,1 wt. % | DIN 51777 <header> <Odour: Chemical Name: Appearance:> | <typical 1 - Hexanol clear, colourless> | <internal: liquid Revision:> | < 0698001 V 1.2, 09.07.2014 > </header>', 'label': [[15, 18, 'mean'], [19, 21, 'measuring_condition'], [23, 24, 'unit'], [27, 36, 'method']]}"
Flash point,"{'data': 'Flash point °C | Min 85', 'label': [[12, 14, 'unit'], [21, 23, 'min']]}"
Flash point,"{'data': 'Flash point | °C | ASTM D 6450 | 35 | - <header> <Analysis> | <Unit> | <Method> | <Specification> <Min> | <Specification> <Max> </header>', 'label': [[14, 16, 'unit'], [19, 30, 'method'], [33, 35, 'min']]}"
Water Content,"{'data': 'Water Content, % | 0.2 max. | RP - 0327', 'label': [[19, 22, 'max'], [30, 39, 'method'], [15, 16, 'unit']]}"
Boiling point,"{'data': 'Maximum Distillation Range, °C | 3', 'label': [[28, 30, 'unit'], [33, 34, 'max']]}"
Boiling point,"{'data': 'Distillation Range | | | ASTM D 86 <header> <Properties> | <Typical Value> | <Unit> | <Test Based On> </header>', 'label': [[25, 34, 'method']]}"
Aromatic content,"{'data': 'Aromat tic content | mg/kg | UV 1 | 21 <header> <Proper rty> | <Units> | <M Method> | <Ty p ical value S> </header>', 'label': [[21, 26, 'unit'], [29, 33, 'method'], [36, 38, 'mean']]}"
Acid content,"{'data': 'Acid number ( calculated as Acetic Acid ) | max. 0.04 ( max. 0.004 ) | mg KOH/g ( % ( w/w ) ) | DIN EN ISO 2114 / DIN EN ISO 2114 / ASTM D 1613 / ASTM D 664 | <header> <Property> | <Limit> | <Unit> | <Test Method> | <PQR> </header>', 'label': [[14, 39, 'measuring_condition'], [49, 53, 'max'], [71, 79, 'unit'], [82, 83, 'unit'], [86, 89, 'measuring_condition'], [96, 156, 'method']]}"
header,"{'data': 'Items | Specification | Analysis method <header> <Items> | <Specification> | <Analysis method> </header>', 'label': []}"
header,"{'data': 'Property | Test Method Typical Value, Units | Test Method Typical Value, Units <header> <Property> | <Test Method Typical Value, Units> | <Test Method Typical Value, Units> </header>', 'label': []}"
Boiling point,"{'data': 'Final | | ºC | 177 <header> <Property> | <> | <Unit> | <Value> </header>', 'label': [[0, 5, 'measuring_condition'], [10, 12, 'unit'], [15, 18, 'mean']]}"
Active %,"{'data': 'Purity | % mass | 99.0 min | GC method <header> <Parameter> | <Units> | <Value> | <Test Method> </header>', 'label': [[9, 10, 'unit'], [11, 15, 'measuring_condition'], [18, 22, 'min'], [29, 38, 'method']]}"
Boiling point,"{'data': 'Initial Boiling Point | | | 182 | <header> <Properties> | <Test Methods> | <Units> | <Lower Values> | <Upper Values> </header>', 'label': [[0, 7, 'measuring_conditon'], [28, 31, 'mean']]}"
Flash point,"{'data': 'Flash point | ASTM D 93 | °C | min. 110 <header> <Property> | <Test Method> | <Unit> | <Specification> </header>', 'label': [[14, 23, 'method'], [26, 28, 'unit'], [36, 39, 'min']]}"
header,"{'data': 'Feature | Units | Minimum | Maximum | Maximum <header> <Feature> | <Units> | <Minimum> | <Maximum> | <Maximum> </header>', 'label': []}"
Flash point,"{'data': 'Flash Point ( Tag Closed Cup ) | C ( °F ) … 75 ( 176 )', 'label': [[14, 28, 'measuring_condition'], [33, 34, 'unit'], [37, 39, 'unit'], [44, 46, 'mean'], [49, 52, 'mean']]}"
Flash point,"{'data': 'Closed Cup Flash Point °F | 36 <header> <Physical properties> | <Physical properties> </header>', 'label': [[0, 10, 'measuring_condition'], [23, 25, 'unit'], [28, 30, 'mean']]}"
Boiling point,"{'data': 'Initial boiling point | °C | 79.0 | | |', 'label': [[0, 7, 'measuring_condition'], [24, 26, 'unit'], [29, 33, 'mean']]}"
Boiling point,"{'data': ' | Ibpt | 220 min | 233 <header> <METHOD> | <TEST> | <MIN - MAX> | <TYPICAL> </header>', 'label': [[3, 7, 'measuring_condition'], [10, 13, 'min'], [20, 23, 'mean']]}"
Acid content,"{'data': 'Acidity ( As Acetic Acid ) | Less than < 0.005 % w/w AN', 'label': [[10, 24, 'measuring_condition'], [41, 46, 'max'], [47, 48, 'unit'], [49, 52, 'measuring_condition']]}"
Flash point,"{'data': 'Flash Point ( closed cup ) | ℃ 28', 'label': [[31, 33, 'mean'], [29, 30, 'unit'], [14, 24, 'measuring_condition']]}"
Boiling point,"{'data': 'Boiling Point, °C at 760 mm Hg | 146.0', 'label': [[15, 17, 'unit'], [33, 38, 'mean'], [18, 30, 'measuring_condition']]}"
header,"{'data': 'Property | Value | Unit | Test method <header> <Property> | <Value> | <Unit> | <Test method> </header>', 'label': []}"
Acid content,"{'data': 'Acidity, max as acetic acid: | | 0.002 | % mass | ASTM D 1613 <header> <Parameters> | <Min> | <Max> | <Units> | <Method> </header>', 'label': [[13, 27, 'measuring_condition'], [33, 38, 'max'], [41, 42, 'unit'], [43, 47, 'measuring_condition'], [50, 61, 'method']]}"
header,"{'data': 'Analysis | Unit | Method | Min | Max <header> <Analysis> | <Unit> | <Method> | <Specification> <Min> | <Specification> <Max> </header>', 'label': []}"
Boiling point,"{'data': 'Distillation, ºF ( D - 86 ) | | <header> <> | <SPECIFICATIONS> | <TYPICAL*> </header>', 'label': [[14, 16, 'unit'], [19, 25, 'method']]}"
Flash point,"{'data': 'Flashpoint Pensky/Martens | EN 22719 | 0 C | min. 62,0 <header> <Measure> | <Test Method> | <Unit> | <Testing data> </header>', 'label': [[28, 36, 'method'], [39, 42, 'unit'], [50, 54, 'min'], [11, 25, 'measuring_condition']]}"
Flash point,"{'data': 'Flash point : | 96 °C', 'label': [[16, 18, 'mean'], [19, 21, 'unit']]}"
Boiling point,"{'data': 'Distillation, deg C | <header> <Test> | <Specification> </header>', 'label': [[14, 19, 'unit']]}"
Acid content,"{'data': 'Acidity as Acetic acid | % mass | 0.02 max. | ASTM D 1613 <header> <Parameter> | <Units> | <Value> | <Test Method> </header>', 'label': [[11, 22, 'measuring_condition'], [25, 26, 'unit'], [27, 31, 'measuring_condition'], [34, 38, 'max'], [46, 57, 'method']]}"
Water Content,"{'data': 'Water content [ % ] ( Fischer ) | 2.5.12 | max. 0.2 | max. 0.05 | 0.02 <header> <Specifications> | <Method according to PH.EUR.> | <Requirements of PH.EUR.> | <Specified range> | <Typical values 2 ) > </header>', 'label': [[16, 17, 'unit'], [22, 29, 'measuring_condition'], [34, 40, 'method'], [59, 63, 'max'], [66, 70, 'mean']]}"
Boiling point,"{'data': 'Final Boiling Point | ASTM D 1078 | °C | max. 200 <header> <Property> | <Test Method> | <Unit> | <Specification> </header>', 'label': [[0, 5, 'measuring_condition'], [22, 33, 'method'], [36, 38, 'unit'], [46, 49, 'max']]}"
header,"{'data': 'Properties | Units | Value | Test Method | <header> <Properties> | <Units> | <Value> | <Test Method> | <> </header>', 'label': []}"
Boiling point,"{'data': 'BOILING POINT ( @ 760 mm Hg ) | 139 ºC ( 282 ºF ) <header> <PROPERTY> | <SPECIFICATION> </header>', 'label': [[18, 27, 'measuring_condition'], [32, 35, 'mean'], [41, 44, 'mean'], [36, 38, 'unit'], [45, 47, 'unit']]}"
Boiling point,"{'data': 'Boiling point / Boiling range | EU - GL.A.2 | 139,5 °C <header> <Typical general characteristics> | <Inspection Method> | <Value> </header>', 'label': [[32, 43, 'method'], [46, 51, 'mean'], [52, 54, 'unit']]}"
Water Content,"{'data': 'Moisture, % ≤ | Moisture, % ≤ | 0.01 | 0.1 <header> <Index> | <Index> | <High grade> | <First grade> </header>', 'label': [[10, 11, 'unit'], [26, 27, 'unit'], [32, 36, 'max'], [39, 42, 'max']]}"
header,"{'data': 'Characteristic | Characteristic | Method | Units | Min | Max | Requirements <header> <Characteristic> | <Characteristic> | <Method> | <Units> | <Min> | <Max> | <Requirements> </header>', 'label': []}"
