text,label,jsonl_data
Density @20 ℃ | g/ml | 0.801-0.803 ,irrelevant,
Colour | Hazen |  | 10 | 10 ,irrelevant,
Property | Unit | Value | Method ,header,
(ether = 1) | 20.2 ,irrelevant,
Electrical Conductivity @20°C | pS/m | - | < 1 ,irrelevant,
Flash point | ASTM D93 | °C :unselected: | min. 110 ,Flash point,
Solubility al 20℃ |  ,irrelevant,
Acidity (as Acetic acid) : | max. 50 ppm,Acid content,
Product Name | ShellSol A150 |  |  ,irrelevant,
"Solubility, g/100 g @ 25°C |  |",irrelevant,
Ethanol Content (% by weight) | 83.1 - 86.1 | 83.1 - 86.1 ,irrelevant,
"Antoine Constant B # | kPa, °C | - | 1449.92 ",irrelevant,
Density @ 20°C | 9.26 1.110 9.23 1.106,irrelevant,
Critical Volume | 485 ml/gmol ,irrelevant,
Tipo: | CV | CV,irrelevant,
Flash Point (Setaflash Closed Cup) | 58 °C (136.4°F) ,Flash point,
Hydrogen bonding index |  |  | 10.3 ,irrelevant,
Water (K. Fischer): | max. 0.1 %,Water Content,
Appearance |  | Visual | Clear & Bright | Clear & Bright ,irrelevant,
Initial |  | 191°C (367°F) ,Boiling point,
Freezing Point | -80°C (-112°F) ,irrelevant,
"Purity (GC % weigth ) | 99,5 | 99,8 |  | ASTM D 3545 ",Active %,
Liquid Viscosity @ 20℃ | 2.4 cP (mPa·s) ,irrelevant,
"Carbonyl Number, mg KOH/g | BRCP 4588 | ASTM E 411 | 0.20 max ",irrelevant,
"Property | Typical Value, Units ",header,
Heat capacity [J/(K · g)] at | 57 °C :unselected: | 1.87 |  ,irrelevant,
Density@ 20oC: | 0.809 | 0.813 | g/cm3 | Paar Densimeter ,irrelevant,
(n-butyl acetate = 1) | 0.5 ,irrelevant,
• | Easy and Inexpensive to Distill/Recycle | preferable chemistry,irrelevant,
-40 | 0.009 | 1.0310 | 8.26 |  |  ,multi,
Wt % Water | 12.6 wt % ,Water Content,
 | SPECIFICATIONS ,irrelevant,
Evaporation rate | ether = 1 | Approx. 3500 | DIN 53170 ,irrelevant,
 | Paraffins | % m/m | GC | 50 ,irrelevant,
Neutralisation number calc. as KOH | mg / g | 0.01 max | 3002-03040 titration ,irrelevant,
APPEARANCE | VISUAL | CLEAR | CLEAR ,irrelevant,
Density at 20°C | kg/l | 0.800-0.804 | ASTM D4052 ,irrelevant,
"DP, max. | 251 C 0 | 251 C 0 ",Boiling point,
Vapor Density (air = 1) | 5 ,irrelevant,
"Other alcohols | vikt-% | - | 0,2 | 0,1 | GC ",irrelevant,
"TOTAL SULFUR, WT. PPM | ASTM D3120 | 1.0 MAX. | < 0.1 ",irrelevant,
Ignition temperature [°C] | 245 ,irrelevant,
Evaporation Rate |  ,irrelevant,
20 | 0.08 | 1.98 | 147.1 ,irrelevant,
Vapor Pressure @20°C | kPa | Calculated | 0.11 ,irrelevant,
120 | 98.7 | 0.8401 | 0.45 | 2.147 ,multi,
"Hansen Solubility Parameters, [cal/cm3]1/2 |",irrelevant,
Butyl diglycol | mass % | 97.0 min | GC | GC | GC ,irrelevant,
Empirical Formula |  ,irrelevant,
Autoignition temperature | 381°F | 194°C,irrelevant,
Solubility in Water | Complete |  | EPH-2014 | EPH-2014 ,irrelevant,
"5 –
water :unselected: | max. 0.1 | % | DIN 51777, part 1 ",Water Content,
"Property | Typical Value, Units ",header,
Feature | Units | Typical Values ,header,
Ortho-Xylene |  | 19.0 ,irrelevant,
Density | at 20°C | 0.952 – 0.956 g/cm3 | DIN 51757 ,irrelevant,
ASTM D611 | Mixed Aniline Point ℃ |  |  |  | 14 - 17 ,irrelevant,
Meta-Xylene | 44.0,irrelevant,
Acidity as Acetic Acid | 0.01 wt % max. ,Acid content,
Dilution Ratio: SBP 100/140 | - | ASTM D1720 | 0.9 ,irrelevant,
Dilution Ratio |  ,irrelevant,
Water | 0.05 % max ,Water Content,
Refractive index ND20 |  | 1.417 - 1.421 ,irrelevant,
Thermal Conductivity @ 20°C | W/m/°C |  | 0.13 ,irrelevant,
Distillation | ASTM D 1078 | °C |  ,Boiling point,
Distillation |  |  | D 86 ,Boiling point,
"Acid value | max. 0,1 mg KOH/g | DIN 53402 ",Acid content,
"Solubility in Water, wt% at 20º C | 5.3 | 4.2 | 2.5 | 7.5 | 4.3 | 2.1 | ~5 | <0.1 ",irrelevant,
FORMULA : C9H18O - | (CAS : 108-83-8 / EINECS : 203-620-1) | (CAS : 108-83-8 / EINECS : 203-620-1) ,irrelevant,
"ASTM D1744 | Water Content , %m |  |  | 0.05 |  ",Water Content,
Specific Gravity @ 20°C/20°C | 0.87 ,irrelevant,
Density at 20℃ | approx. 0.918-0.923 | g/ml | DIN 51 757 / ASTM D 2111 ,irrelevant,
Permanganate oxydation | min | 30 | > 25 | Regulation CE nº 625 / 2003 ,irrelevant,
"Acidity, % by wt, as Acetic Acid (D-1613) | 0.005 max",Acid content,
Alcohol Content | 95%,irrelevant,
Evaporation Rate |  ,irrelevant,
Isobutanol | max. 0.10 | % (w/w) | Gas Chromatography | :unselected: ,irrelevant,
50% B O iling Point |  |  | 196 ,Boiling point,
Molecular Weight | g/mol | Calculated | 110 ,irrelevant,
Relative Evaporation Rate (Ether=1) | - | DIN 53170 | 3.3 ,irrelevant,
"Final boiling point | EN 3405 | °C | max. 295,0 ",Boiling point,
"1,4-Butanediol | max. 0.1% | GC ",irrelevant,
0HDVXUHV | 7HVW 0HWKRGV | 8QLWV | Q 3HQWDQH ! | Q +H[DQH ! ! | Q +H[DQH ! ! | Q +HSWDQH ! ! | Q +HSWDQH ! ! ,irrelevant,
Dry Point (DP) | 399 | ºF | 204 ℃ |  ,Boiling point,
Ethanol | mass % | 95.0 min | GC ,irrelevant,
DOT Label Required | None ,irrelevant,
"Aromatic, vol % | ASTM D1319 | 10 - 22 ",Aromatic content,
"Density (20°C) : | 0,940 – 0,944 kg/liter",irrelevant,
Flash Point | °C | ASTM D93 | 74 ,Flash point,
Rikkipitoisuus Svavelhalt Sulphur content | mg/kg |  | 3 | < 1 | EN ISO 20846 ,irrelevant,
(ether = 1) | 5.3 ,irrelevant,
Boiling Point @ 760 mm Hg Initial |  ,Boiling point,
Rev. 0 | N-BUTANOL | DATA SHEET ,irrelevant,
Marine | Marine | Non-SARA | Non-SARA ,irrelevant,
Viscosity @25°C | mm²/s | ASTM D445 | 1.6,irrelevant,
Nonpolar | 7.5 ,irrelevant,
Maximum Incremental Reactivity (MIR) | 0.07,irrelevant,
"Aniline Point, °C | ASTM D611 | min 48 ",irrelevant,
Distillation at 101.3 kPa: Initial boiling point | °C | 116.0 | ASTM D1078 ,Boiling point,
"Kg per Liter, 20℃ | 0.81 ",irrelevant,
Auto Ignition Temperature | °C | ASTM E659 | 535 ,irrelevant,
"Furfuryl Alcohol, Assay, % min | 98.0",Active %,
Explosion Limit: Lower | %v/v | - | 1.3 ,irrelevant,
 |  |  |  ,irrelevant,
120 | 52.6 |  |  ,irrelevant,
"Ethanol 99,9 diluted with water | Ethanol 99,9 diluted with water | Ethanol 99,9 diluted with water | Ethanol 99,9 diluted with water | Ethanol 99,9 diluted with water | Ethanol 99,9 diluted with water ",irrelevant,
Specific gravity (25/25°C) |  | 0.919,irrelevant,
CONTROLLED PROPERTY | UNIT | OBTAINED VALUE | SPECIFICATION | METHODS OF ANALYSIS | REFERENCES ,header,
"2 Sturdee Avenue | The Marine - Suite 1101 | 900 Threadneedle, Suite 100 | Anckelmannsplatz 1 | #2409 Shui On Centre ",irrelevant,
www.univareurope.com info.nordic@univareurope.com | www.univareurope.com info.nordic@univareurope.com | www.univareurope.com info.nordic@univareurope.com | www.univareurope.com info.nordic@univareurope.com ,irrelevant,
Electrical | Resistance,irrelevant,
APPEARANCE |,irrelevant,
TBP content*: | min. 99.00 %,irrelevant,
Water in solvent | 3.44,irrelevant,
IBP | 0 C | 152 min |  |  ,Boiling point,
 | Specification | Test Method | Test Method ,header,
Freezing Point | -88℃ (-127ºF) ,irrelevant,
Saturated Vapor Concentration @20°C | g/m³ | Calculated | 42 ,irrelevant,
Water | Mass % | 0.1 max | D1364 | 760 |  ,Water Content,
 |  |  |  ,irrelevant,
Availability 1 | • North America,irrelevant,
Valid since | 18-07-2008,irrelevant,
"Acidity, % by wt, as Acetic Acid (D-1613) | 0.01 max ",Acid content,
C.A.S NUMBER |  |  | 64742-82-1 | 90622-56-3 | 64742-48-9 | 64742-48-9 | 64742-48-9 | 64742-48-9 | 64742-48-9 | 64742-48-9 ,irrelevant,
Bromi-indeksi Bromindex Bromine index |  |  |  | < 20 | ASTM D 2710 ,irrelevant,
"Density at 20 °C |  | 0,817 - 0,821 g/ml | DIN 51757 ",irrelevant,
Classification according to hazardous substances directive 67/548/ECC |  | does not require a hazard warning label ,irrelevant,
Appearance at 25ºC | Clear liquid ,irrelevant,
"Aldehydes (as 2- ethylhexanal) | : max. 0,05 | % ",irrelevant,
Tipo: Type | CV,irrelevant,
Boiling Range | 112-122℃ ,Boiling point,
"Carbon structure, X(N)-U | DIN 51378-U :unselected: | % w/w | 26 ",irrelevant,
Density @ 20oC: | 0.862 | 0.872 | g/cm3 | Paar Densimeter ,irrelevant,
9 | Evaporation (kJ/kg) | 36.3 ,irrelevant,
50 | 22.06 | 0.9341 | 0.73 | 2.100 | 138.7 ,multi,
Other Chlorinated Hydrocarbons | ppm w/w |  | 200 |  ,irrelevant,
Evaporation Rate (n-butyl acetate = 1) | 0.43,irrelevant,
Chloroform | mg/kg | max. 50 ,irrelevant,
Mixed Aniline Point | Deg C |  | 18 | ASTM D 611 ,irrelevant,
"DP, min. | 253o C ",Boiling point,
Acidity (as acetic acid) | %wt |  | 0.010 | ASTM D1613 ,Acid content,
Acidity/% |  ,Acid content,
 | Water | %m/m |  |  | 0.05 ASTM D1364 | 0.05 ASTM D1364 | 0.05 ASTM D1364,Water Content,
Vapor Pressure |  ,irrelevant,
"Distillation, ASTM D-1078 |  ",Boiling point,
TEST | METHOD | SPECIFICATION ,header,
Assay |  | 99.0 wt % min. ,Active %,
Aromatics %(v/v) | ASTMD‐2360 | 99 |  ,Aromatic content,
Solubility parameter |  |  | 8.77 ,irrelevant,
Specific Gravity(20/20℃) | 0.790 - 0.793 | 0.791 | ASTM D 4052 ,irrelevant,
Enthalpy of vaporization( Hv) △ | at boiling point | 317.3 kJ/kg |  ,irrelevant,
Specific Gravity d20/4 | 1.104,irrelevant,
Viscosidad (CST a 40 ℃): | 0.90 | 0.90,irrelevant,
Propy! Acetate (% by weight) | 0.85 - 1.35 |  ,irrelevant,
"Metaxylene, % wt | ASTM D6563 | To report ",irrelevant,
Specification data | Specification data | Inspection Method | Value ,header,
VMP Naphtha | 0.6 ,irrelevant,
Initial | 165°C (329°F) ,Boiling point,
TLV PPM 1998 | 50 ,irrelevant,
Heat of Vaporization | 15196 cal/g·mol ,irrelevant,
KB value |  | approx. 29 ,irrelevant,
Colour (APHA) |  |  | max. 10 |  ,irrelevant,
Hildebrand Solubility Parameter | (cal/cm³)^½ | - | 8.4 ,irrelevant,
23.6 | mN/m,irrelevant,
"Flash Point, °C, (°F) | 61.1(142) ",Flash point,
Heat of Combustion (Net) @25°C | kJ/kg | - | 41000 ,irrelevant,
Heat of vaporization (J/g) at normal boiling point | 342.76 ,irrelevant,
"Flashpoint Pensky/Martens | EN 22719 | 0 C | min. 62,0 ",Flash point,
Density 15 °C | DIN 51757 method 3 | kg/m³ | 830.0 ,irrelevant,
"Recovery solvent in drilling muds and ore | Recovery solvent in drilling muds and ore |  | Approval Scheme, D181 ",irrelevant,
AICS (Australia) | 34590-94-8,irrelevant,
Density at 20 °C (DIN 51 757 method D) | g/cm3 | 0.920 – 0.922 ,irrelevant,
Critical Temperature | 279.7°C ,irrelevant,
Dry Poin nt |  |  | 171 180 ,Boiling point,
Typical Properties | Relative Evaporation Rate (Ether=1) - | DIN 53170 | 6.1 ,irrelevant,
Boiling Point @ 760 mm Hg | 182-186°C (360-367°F) ,Boiling point,
Properties | Limits | Rhodia Method | Reference,header,
KB Value | ASTM D 1133 |  | 31 ,irrelevant,
EINECS number |  | 203-713-7 | 203-804-1 | 203-685-6 | 203-905-0 | 203-906-6 | 203-919-7 | 203-961-6 ,irrelevant,
Appearance | Clear & Bright,irrelevant,
Wt/Vol @ 20°C | 1.01 kg/L (8.42 lb/gal),irrelevant,
Specific Gravity @ 20°C/20°C | 0.95 ,irrelevant,
Specific Gravity @ 20°C/20°C | 0.913 ,irrelevant,
"PM-2 Isomer, wt. % max. | 0.49 0.29 in EU |  ",irrelevant,
Dry Point | 235 max ,Boiling point,
"Destillation range | min. 142 °C
max. 205 °C :unselected:",Boiling point,
"Color, Pt-Co (D-1209) | 10 max ",irrelevant,
Ignition temperature | ASTM D 2155 | °C | 500 ,irrelevant,
Properties | Units | Limits | ASTM | ISO | Other ,header,
"Total aromatics | GC | % wt | min. 98,00 ",Aromatic content,
Assay | 99.0% min. ,Active %,
Water | 0.1 wt % max. ,Water Content,
Density | at 20°C | 0.8995 – 0.9020 g/cm3 | DIN 51757 ,irrelevant,
Autoignition Temperature | 424 °C (795 °F) ,irrelevant,
Flash Point | °C | IP 170 | 50 ,Flash point,
Distillation Range - Initial Boiling Point (IBP) | 143 |  | °C | ASTM D86 ,Boiling point,
Properties | Unit | Value ,header,
"Colour, max | Hazen | 10 | ASTM D1209 |  ",irrelevant,
Doctor-koe Doctor test Doctor test |  |  | Negat. | Negat. | ASTM D 4952 ,irrelevant,
MEASURES | UNITS | MEASURES METHODS | TYPICAL VALUES ,header,
Appearance | Colorless Transparent Liquid | GAIT 9030.032 ,irrelevant,
"Purity | % WT | min. 98,5 ",Active %,
Surface Tension @20°C | mN/m | - | 26,irrelevant,
"Gravity, API at 60ºF (D-287) (D-4052) |  | 43.2 - 57.5 ",irrelevant,
Appearance |  | Clear and free from suspended matter | D4176 |  | visual ,irrelevant,
"Initial boiling point | D 86 | 157,4 | C degree ",Boiling point,
"Ester by GC, % | 97.00 Minimum | TEAD-A-AN-G-GC-522 ",irrelevant,
Colour | ASTM D156 | Saybolt | +28 | - ,irrelevant,
(n-Butylacetate = 100) |  | 5.5 ,irrelevant,
(dynes/cm at 20°C) | 31.6,irrelevant,
MEASURES | UNITS | MEASURES METHODS | GUARANTEED VALUES MINI MAXI | GUARANTEED VALUES MINI MAXI ,header,
Property | Unit | Method | Value | Value ,header,
"Hansen Solubility Parameters, [cal/cm3]1/2 |  |",irrelevant,
Liquid Heat Capacity | @ | 25°C | 59.64 cal/(g*mol)(°C),irrelevant,
Specifications | :,irrelevant,
Water in solvent |  | -,irrelevant,
"CAS-No. | 138-86-3, 94266-48-5, 586-62-9",irrelevant,
Flash point | °C | 22 |  | 28 | ASTM D 56 ,Flash point,
Acidity as acetic acid (wt %) | max 0.01 | ASTM D 1613 ,Acid content,
Initial Point | °C :unselected: | ASTM D 86 | 180 |  ,Boiling point,
Other Names | 4-methyl-1,irrelevant,
Doctor Test | ASTMD‐235 | Negative |  ,irrelevant,
China IECSC | Listed,irrelevant,
"Houston, TX 77079-1398 | #06-00 HarbourFront Tower One | 1831 Machelen, Belgium ",irrelevant,
ETILDIGLICOL | Product | Revision 40 / 6 | Page Page 1 of 1 ,irrelevant,
H2S / SO2 |  |  | * ,irrelevant,
50 | 2.83 | 0.9101 | 1.04 | 2.037 ,multi,
Total distillation range at 760mm Hg incl. 110.6 ℃ | 1 ºC max | ASTM D850 ,Boiling point,
CAS Number |  | 115-10-6 ,irrelevant,
Cyclohexanol | - | % | 0.1 max. ,irrelevant,
Water solubility at 20 °C ......................................................................................................................................... | complete,irrelevant,
Assay | 99.5 wt % min. ,Active %,
"Water Solubility in DMEs, wt. % | 3.3 | 3.2 | 2.8 | 4.0 | 2.9 | 2.9",irrelevant,
Empirical Formula | C4H10O2 ,irrelevant,
Dry point |  |  |  | 181 ,Boiling point,
3. Physical Properties | 3. Physical Properties | 3. Physical Properties | 3. Physical Properties,irrelevant,
Pour Point | °C | ASTM D97 | <-30 ,irrelevant,
@ 20°C | 27.8 mm Hg ,irrelevant,
Specific Gravity | ASTM D4052 |  ,irrelevant,
Water | 0.05 % max,Water Content,
Density at 15 °C | kg/m3 | ASTM D 4052 | 869 873 | 869 873 ,irrelevant,
Typical general characteristics | Inspection Method | Value ,header,
Water | 0.1 | max | wt % | DSM 1797 ,Water Content,
Vapor pressure@ 20℃ | <0.01 mmHg | <0.001 kPa ,irrelevant,
Hildebrand Solubility Parameter | (cal/cm³)^½ | - | 7.5 ,irrelevant,
Dry Poin nt |  |  | 213 max ,Boiling point,
Colour | Pt-Co | ≤ 10 | ASTM D1209 ,irrelevant,
(DIN 53171; 95 Vol.-%; 2 – 97 ml) | 101 –102 °C,irrelevant,
"Distillation Range, | ℃ ASTM D86",Boiling point,
EC-No. | 204-685-9,irrelevant,
Typical Properties | Refractive Index @20°C | - | ASTM D1218 | 1.417 ,irrelevant,
Australia AICS | Listed,irrelevant,
Valid from: 2000-01-01 | Version: 00529869-1-02,irrelevant,
Test Method |  | Unit | Typical | Specification ,header,
"_______________________________ Color, (Saybolt Units), ASTM D 156 / ASTM D-6045 | ______________________ 30 min ",irrelevant,
Kinematic Viscosity (77.0°F (25.0°C)) | 2.91 | cSt | 2.91 | mm²/s | ASTM D445 ,irrelevant,
Electrical Resistance | 0.4 Megohms ,irrelevant,
Hildebrand Solubility Parameter | (cal/cm³)^½ - | 7.5,irrelevant,
 |  |  |  ,irrelevant,
Molecular Weight (g/mol) | 146.2 ,irrelevant,
Vapor Pressure @50°C | kPa | Calculated | 36 ,irrelevant,
Flash Point Setaflash Closed Cup °C | 59 ,Flash point,
Jodine Value | (g/100g) | 0.1Max. | 0. 060,irrelevant,
"Kg per Liter, 20℃ | 0.92 ",irrelevant,
_Non-Polar :unselected: | 7.4 ,irrelevant,
2-Pentanol | vol % | CHROMATOGRAPHY |  | 3 ,irrelevant,
Molecular Weight | 146.19 ,irrelevant,
COLOUR | COLOUR | COLOUR | BINDER NATURE | ESTER AND STABILIZERS MIXTURE | ESTER AND STABILIZERS MIXTURE ,irrelevant,
"Purity, % by wt (D-3545) | 99.0 min ",Active %,
Vapor Density (air = 1) | 5.5 ,irrelevant,
Miscibility at 20°C: Water in solvent | %m/m | - | 5.5 ,irrelevant,
Physical Properties: | Physical Properties: | Physical Properties:,irrelevant,
Molecular Weight | 60.1 ,irrelevant,
Chemstation Distribution Sdn Bhd | Chemstation Distribution Sdn Bhd | Document No. | QC-OPN-N07 ,irrelevant,
Copper | 10 | <1.0,irrelevant,
Surface tension [mN / m]: | 27,irrelevant,
項目 Item | 規範Specification | 試驗方法 CNS ASTM ,header,
Upper | 14 ,irrelevant,
Hansen Solubility Parameters |  ,irrelevant,
Product Name | Technical Grade d-Limonene,irrelevant,
Current Quality Grade | Conforming to Specification | Conforming to Specification |  |  ,irrelevant,
Net heat of combustion (kJ/g) — predicted @ 25°C |  | 28.9,irrelevant,
CAS number :unselected: | 27458-92-0,irrelevant,
"Boiling point, 1 atm | ºC :unselected: | 118 ",Boiling point,
"Tislauksen alkupiste Destillation, begynnelse Distillation, initial boiling point | °C | 150 |  | 159 | EN ISO 3405 ",Boiling point,
Hansen Solubility Parameters |  ,irrelevant,
Wt/Vol @ 20°C | 0.81 kg/L (6.75 lb/gal) ,irrelevant,
"Distillation D.P., max | °C | 196.0 | ASTM D 1078 |  ",Boiling point,
Closed Cup Flash Point °F | 135,Flash point,
Density at 20 °C | g/ml | 0.786 | ASTM D4052 ,irrelevant,
"Density @ 20ºC | g/ml | 1,129 | 1,129 | 1,129 ",irrelevant,
Hansen Solubility Parameters | Hansen Solubility Parameters |  ,irrelevant,
Pour point | °C | - 85.1 | - 90 | - 90 | - 70 | - 85 | - 78 | - 68.1 ,irrelevant,
Viscosi ty at 25°C | mm2 /s | AST TM D 7042 | 1.60 ,irrelevant,
"MA-779 | Water, wt% |  | 0.10 ",Water Content,
Flash Point |  ,Flash point,
Vapor Pressure @ 25o C (77o F) (mmHg) | 0.03,irrelevant,
Appeara ance |  | EC A A01 - | B Bright & Clear r ,irrelevant,
"Water Content, % wt | ASTM D1364 | 0.15 max ",Water Content,
Proper rty | Unit ts | Method d | Typic cal values ,header,
Density (20℃) g/cm3 | 1.066-1.076 | 1.072 ,irrelevant,
SAFETY REGULATION |  ,irrelevant,
Vapor Pressure @ 20℃ | 179.5 mm Hg,irrelevant,
WATER CONTENT | ASTM E1064 | %WT | 0.50 MAX. ,Water Content,
Data Sheet | 28-Nov-2007 | 28-Nov-2007 |  |  ,irrelevant,
"Nonvolatiles, mg/100 ml (D-1353) | 5 max ",irrelevant,
Esters content (%，≧) | 99.5 |  | chromatograph ,irrelevant,
"Density, 20℃ : | 976 kg/m3",irrelevant,
Reactivity | 0 | 0 ,irrelevant,
Hansen solubility parameters (J/cm³)1/2 |  |,irrelevant,
Kauri-Butanol Value (D-1133) |  | 31 ,irrelevant,
Density at 15 degr. C | kg/dm3 | 0.761 - 0.763 ,irrelevant,
