label,text,first_col
irrelevant,Preservative chloro-2-methyl-3(2H)-isothiazolone (CMIT) | GAP 0222 | Value 10.5 | Unit ppm,Preservative chloro-2-methyl-3(2H)-isothiazolone (CMIT) 
irrelevant,2-methyl-3(2H)-isothiazolone (MIT | -- | 3.5 | ppm,2-methyl-3(2H)-isothiazolone (MIT 
irrelevant,-- | -- | -- | --,-- 
irrelevant,â€¢ | epoxy esters,â€¢ 
irrelevant,â€¢ | alkyd resins of any kind,â€¢ 
irrelevant,â€¢ | linseed oil - stand oil,â€¢ 
density,density at 20 Â°C (68Â°F) | 0.897 g/cm3 ~,density at 20 Â°C (68Â°F) 
solid_content,solid content | 21 % ~,solid content 
irrelevant,refractive index at 20 Â°C | 1.412 ~,refractive index at 20 Â°C 
irrelevant,Wall finishes | 100 | -- | -- | -- |--|  |--|  |--|  |--|  |--|  |--| --,Wall finishes 
irrelevant,-- |--|  |--|  |--|  |--|  |--|  |--|  |--|  |--|,-- 
irrelevant,Emulsion and mineral bound wall - finishes | [% ] |--|  |--|  |--|  |--|  |--|  |--|  |--|  |,Emulsion and mineral bound wall - finishes 
irrelevant,Paints | 8 0 1-Q 3 |--|  |--|  |--|  |--|  |--|  |--|  |--|  |,Paints 
irrelevant,Structured paints - |--|  |--|  |--|  |--|  |--|  |--|  |--|  |--|,Structured paints - 
irrelevant,Plastics | 6 0 |--|  |--|  |--|  |--|  |--|  |--|  |--|  |,Plastics 
irrelevant,PVC plasticized/plastisols - Floor coverings | distribution |--|  |--|  |--|  |--|  |--|  |--|  |--|  |,PVC plasticized/plastisols - Floor coverings 
irrelevant,Synthetic marble | 4 0 |--|  |--|  |--|  |--|  |--|  |--|  |--|  |,Synthetic marble 
irrelevant,Polymer concrete | ulative |--|  |--|  |--|  |--|  |--|  |--|  |--|  |,Polymer concrete 
irrelevant,Terrazzo |--|  |--|  |--|  |--|  |--|  |--|  |--|  |--|,Terrazzo 
irrelevant,ADDITIONAL APPLICATIONS: | 2 0 Cum |--|  |--|  |--|  |--|  |--|  |--|  |--|  |,ADDITIONAL APPLICATIONS: 
irrelevant,Household cleansers | 0 |--|  |--|  |--|  |--|  |--|  |--|  |--|  |,Household cleansers 
irrelevant,|--|  |--|  |--|  |--|  |--|  |--|  |--|  |--|,
irrelevant,Polishing creams | 1000 | -- |--|  |--|  | 100 |--|  |--| 1 | 0 |--|  |--| 1,Polishing creams 
particle_size,Crack fillers |--|  |--|  |--| particle |--|  | size | in | m | icrons |--|  |--|,Crack fillers 
header,Property | Value | Units | Method,Property 
solid_content,"Non-volatiles (1g, 125Â°C, 1h) | 74 â€“ 76 | % | ISO 3251 1)","Non-volatiles (1g, 125Â°C, 1h) "
irrelevant,Colour (Lico 100) | â‰¤ 8.0 | Gardner | ISO 4630,Colour (Lico 100) 
viscosity,"Viscosity (MCR301, 23Â°C, 10 s-1) | 2.9 â€“ 3.6 | Paâˆ™s | ISO 3219","Viscosity (MCR301, 23Â°C, 10 s-1) "
viscosity,Body tube viscosity | 23 â€“ 28 | s | RTM2A 2),Body tube viscosity 
Acid,Acid value (on solids) | 5 â€“ 10 | mg KOH/g | ISO 2144 3),Acid value (on solids) 
header,Technical data | --,Technical data 
irrelevant,Appearance | Clear yellow,Appearance 
irrelevant,Odour | Characteristic,Odour 
density,Density | 1.03 + 0.01,Density 
ph,pH | 2-3,pH 
irrelevant,Solubility | Slightly soluble in water,Solubility 
header,Labelling | Use guidelines,Labelling 
header,Typical Property | Method | Unit | Value,Typical Property 
particle_size,"Particle size | Measured with ""Laser Diffraction Technique"" | Âµm | approx. 0.18",Particle size 
mfft,Minimum film forming temperature (MFFT) | DIN ISO 2115 | ËšC | 0,Minimum film forming temperature (MFFT) 
tg,Glass transition temperature (Tg) | DIN 53 765; DSC; heating rate 10 K/min | ËšC | approx. 11,Glass transition temperature (Tg) 
density,Density | SS-ISO 1675 | g/cm3 | approx. 1.07,Density 
irrelevant,"Filmï¹¡Appearance |--| Slightly opaque, | soft, tough",Filmï¹¡Appearance 
irrelevant,Film hardness |--| Ks | approx. 10,Film hardness 
header,Specification | Method | Unit | Value,Specification 
solid_content,Solids content | DIN ISO 3251 2h; 105ËšC | % | 55 â€“ 57,Solids content 
viscosity,Brookfield viscosity | DIN EN ISO 2555; spindle nr.3; | mPa.s |,Brookfield viscosity 
viscosity,"-- | 20 rpm; 25ËšC; Brookfield viscometer RVT | -- | 1,000 â€“ 4,000",-- 
irrelevant,-- | -- | -- | --,-- 
ph,pH value | DIN ISO 976 |--| 4 â€“ 5,pH value 
irrelevant,ITEM | Color quartz sands,ITEM 
irrelevant,CaCO3 | 98%,CaCO3 
irrelevant,CaO | 0.3%,CaO 
irrelevant,Property | Unit | Grade: HS 10-20 | Grade: 60# | -- | Grade: HS 40-80 | Grade :HS 80-120,Property 
particle_size,Particle size | Âµm | 900-2000 | 425-1180 | -- | 180-300 | 125-180,Particle size 
irrelevant,Pore Volume | Ml/g |--|  |--| 0.383 |,Pore Volume 
irrelevant,Oil Absorption Value | g/100g |--|  |--| ------ |,Oil Absorption Value 
irrelevant,Surface Treatment | ------ |--|  | white sand | -- |,Surface Treatment 
irrelevant,"Drying Loss(105â„ƒ,2hr) | % |--|  | â‰¤0.5 | -- |","Drying Loss(105â„ƒ,2hr) "
irrelevant,"Ignition Loss(1000â„ƒ,2hr) | % |--|  | â‰¤1.5 | -- |","Ignition Loss(1000â„ƒ,2hr) "
ph,"PH Value(20â„ƒ,50g/l water) | ------ |--|  | 6~8 | -- |","PH Value(20â„ƒ,50g/l water) "
irrelevant,MgO | 0.21%,MgO 
irrelevant,MgCO3 | 0.60%,MgCO3 
irrelevant,SiO2 | 0.51%,SiO2 
irrelevant,Fe2O3 | 0.075%,Fe2O3 
irrelevant,Al2O3 | 0.052%,Al2O3 
header,Properties | Norms | Results,Properties 
irrelevant,Appearance / colour | Visual | Clear liquid,Appearance / colour 
irrelevant,VOC | ISO 11890-1 | 594 g/l,VOC 
density,Density | ISO 2811-1 | 0.89 Â± 0.05,Density 
irrelevant,Standard | MAP internal standard 001/NI or equivalent,Standard 
header,Property | Value | Unit | Method1,Property 
solid_content,Total Solids | 42.0 | % | ISO 3251,Total Solids 
ph,pH | 8.0 |--| ISO 976,pH 
viscosity,Viscosity | 500 | mPas | ISO 2555,Viscosity 
particle_size,Particle Size | 0.1 | microns | Internal Method,Particle Size 
mfft,Minimum Film Forming Temperature (MFFT) | 12 | Â°C | ISO 2115,Minimum Film Forming Temperature (MFFT) 
specific_gravity_wet,Specific Gravity (Dispersion) | 1.03 | g/cmÂ³ |,Specific Gravity (Dispersion) 
specific_gravity_dry,Specific Gravity (Dry Polymer) | 1.08 | g/cmÂ³ |,Specific Gravity (Dry Polymer) 
irrelevant,Origin | Italy,Origin 
irrelevant,Safety | Please refer to the specific Material Safety Data Sheet. Close the containers after use.,Safety 
irrelevant,"Specifications | Appearance: light hazel powder Tannin content (on dry matter): 95% min. Moisture: 7% max. pH (1%): 2,6 â€“ 3,0 Ashes: 1,0 % max. Colour Gardner: 12 max. Solubility: soluble in water and alcohol",Specifications 
irrelevant,"Usage Instruction | It is advisable to dissolve the tannic acid into warm water at temperature between 40Â° and 50Â°C under vigorous stirring, then cool the solution at room temperature. For the handling we suggest these materials: steel, plastic, glass or ceramic. Avoid the contact between tannins and rust or iron surface. In case of contact, the tannins could form an insoluble black precipitate.",Usage Instruction 
irrelevant,Storage | SILVATECH T80 shelf life is longer than five years. Store in a cool dry place. Avoid prolonged exposure to the light. Avoid freeze.,Storage 
irrelevant,Packaging | 25 Kg cardboard box,Packaging 
irrelevant,-- | --,-- 
irrelevant,Appearance: | Milky-white liquid,Appearance: 
solid_content,Solids content: | 38 Â± 0.5%,Solids content: 
mfft,Minimum Film-Formation Temperature (MFFT): | ~60Â°C,Minimum Film-Formation Temperature (MFFT): 
ph,pH: | ~8.4,pH: 
viscosity,"Viscosity (Brookfield LVT, #1 spindle, 60 rpm): | < 100 cP","Viscosity (Brookfield LVT, #1 spindle, 60 rpm): "
density,Density @ 25Â°C (Lb./U.S. gal.): | 8.9,Density @ 25Â°C (Lb./U.S. gal.): 
specific_gravity,Specific gravity: | 1.07,Specific gravity: 
irrelevant,Ionic charge: | Anionic,Ionic charge: 
irrelevant,Freeze/thaw stability: | â‰¥ 3 cycles,Freeze/thaw stability: 
irrelevant,Material in Proper Order of Addition | Weight Percent | LBS/ 100 US GAL | Gallons/ 100 US GAL,Material in Proper Order of Addition 
irrelevant,Water | 33.24 | 283.07 | 33.91,Water 
irrelevant,KATHONâ„¢ CG/ICP Preservative | 0.04 | 0.33 | 0.04,KATHONâ„¢ CG/ICP Preservative 
irrelevant,Capstone FS-65 fluorosurfactant1 | 0.05 | 0.41 | 0.05,Capstone FS-65 fluorosurfactant1 
irrelevant,CARBITOLâ„¢ Solvent-low gravity | 5.54 | 47.16 | 5.71,CARBITOLâ„¢ Solvent-low gravity 
irrelevant,Eastman TXIB additive | 1.43 | 12.15 | 1.54,Eastman TXIB additive 
irrelevant,Tri(butoxyethyl) phosphate plasticizer | 2.61 | 22.23 | 2.62,Tri(butoxyethyl) phosphate plasticizer 
irrelevant,DURAPLUSâ„¢ 2 polymer (38%) | 48.43 | 412.44 | 47.42,DURAPLUSâ„¢ 2 polymer (38%) 
irrelevant,RHOPLEXâ„¢ 1531C emulsion (38%) | 2.85 | 24.26 | 2.76,RHOPLEXâ„¢ 1531C emulsion (38%) 
irrelevant,A-C 325N polyethylene polymer (35%)2 | 3.09 | 26.34 | 3.17,A-C 325N polyethylene polymer (35%)2 
irrelevant,Epolene E43N polypropylene polymer (40%)3 | 2.71 | 23.07 | 2.77,Epolene E43N polypropylene polymer (40%)3 
irrelevant,Defoamer4 | 0.01 | 0.09 | 0.01,Defoamer4 
irrelevant,Formulation Constants | Weight Solids: | 25.00%,Formulation Constants 
density,-- | Density: | 8.52,-- 
irrelevant,-- | Polymer/ASE/Wax ratio: | 85/5/10,-- 
irrelevant,Material in Proper Order of Addition | Weight Percent | LBS/100 US GAL | Gallons/100 US GAL,Material in Proper Order of Addition 
irrelevant,Water | 33.90 | 289.54 | 34.69,Water 
irrelevant,KATHONâ„¢ CG/ICP Preservative | 0.04 | 0.34 | 0.04,KATHONâ„¢ CG/ICP Preservative 
irrelevant,Capstone FS-65 fluorosurfactant1 | 0.05 | 0.39 | 0.05,Capstone FS-65 fluorosurfactant1 
irrelevant,CARBITOLâ„¢ Solvent-low gravity | 5.77 | 49.30 | 5.97,CARBITOLâ„¢ Solvent-low gravity 
irrelevant,Eastman TXIB additive | 1.46 | 12.43 | 1.58,Eastman TXIB additive 
irrelevant,Tri(butoxyethyl) phosphate plasticizer | 3.25 | 27.78 | 3.28,Tri(butoxyethyl) phosphate plasticizer 
irrelevant,DURAPLUSâ„¢ 2 polymer (38%) | 44.21 | 377.63 | 42.91,DURAPLUSâ„¢ 2 polymer (38%) 
irrelevant,RHOPLEXâ„¢ 1531C emulsion (38%) | 2.76 | 23.60 | 2.68,RHOPLEXâ„¢ 1531C emulsion (38%) 
irrelevant,A-C 325N polyethylene polymer (35%)2 | 5.40 | 46.12 | 5.56,A-C 325N polyethylene polymer (35%)2 
irrelevant,Epolene E43N polypropylene polymer (40%)3 | 3.15 | 26.91 | 3.23,Epolene E43N polypropylene polymer (40%)3 
irrelevant,Defoamer4 | 0.02 | 0.18 | 0.02,Defoamer4 
irrelevant,Formulation Constants | Weight Solids: | 25%,Formulation Constants 
density,-- | Density: | 8.54,-- 
irrelevant,-- | Polymer/ASE/Wax ratio: | 80/5/15,-- 
irrelevant,Material in Proper Order of Addition | Weight Percent | LBS/100 US GAL | Gallons/100 US GAL,Material in Proper Order of Addition 
irrelevant,Water | 46.50 | 394.46 | 47.26,Water 
irrelevant,KATHONâ„¢ CG/ICP Preservative | 0.04 | 0.34 | 0.04,KATHONâ„¢ CG/ICP Preservative 
irrelevant,Capstone FS-65 fluorosurfactant1 | 0.04 | 0.35 | 0.04,Capstone FS-65 fluorosurfactant1 
irrelevant,CARBITOLâ„¢ Solvent-low gravity | 4.83 | 40.98 | 4.96,CARBITOLâ„¢ Solvent-low gravity 
irrelevant,Eastman TXIB additive | 1.24 | 10.56 | 1.34,Eastman TXIB additive 
irrelevant,Tri(butoxyethyl) phosphate plasticizer | 2.28 | 19.32 | 2.28,Tri(butoxyethyl) phosphate plasticizer 
irrelevant,DURAPLUSâ„¢ 2 polymer (38%) | 42.25 | 358.41 | 41.21,DURAPLUSâ„¢ 2 polymer (38%) 
irrelevant,Epolene E43N polypropylene polymer (40%)3 | 0.85 | 7.24 | 0.87,Epolene E43N polypropylene polymer (40%)3 
irrelevant,Defoamer4 | 0.01 | 0.08 | 0.01,Defoamer4 
solid_content,Formulation Constants | Weight Solids: | 20%,Formulation Constants 
density,-- | Density: | 8.48,-- 
irrelevant,-- | Polymer/ASE/Wax ratio: | 94/0/6,-- 
irrelevant,Concentration of Pigment | Â±33%,Concentration of Pigment 
irrelevant,Form | Paste,Form 
irrelevant,Colour | Teak,Colour 
irrelevant,Light Fastness* | Full shade : 7-8,Light Fastness* 
irrelevant,Acid Resistance* | 5,Acid Resistance* 
irrelevant,Alkali Resistance* | 5,Alkali Resistance* 
irrelevant,Solvent Resistance* | 5,Solvent Resistance* 
irrelevant,-- | --,-- 
header,Property | Typical Values,Property 
irrelevant,"Appearance | Opaque, white to off-white liquid",Appearance 
solid_content,"Solids, by weight, % | 48.0","Solids, by weight, % "
density,"Density (g/ml), wet | 1.05","Density (g/ml), wet "
ph,pH | 8.0,pH 
mfft,"Minimum Film Formation Temperature, (Â± 2Â°C) | 29","Minimum Film Formation Temperature, (Â± 2Â°C) "
viscosity,"Viscosity (Brookfield LV #3, 60 rpm), cps | < 700","Viscosity (Brookfield LV #3, 60 rpm), cps "
irrelevant,Storage precautions | Protect from freezing,Storage precautions 
irrelevant,Physical Appearance : | Medium Viscosity Liquid,Physical Appearance : 
irrelevant,Chemical Component : | Aqueous copolymer dispersion,Chemical Component : 
irrelevant,Nature of Ionic charge : | Anionic/Nonionic,Nature of Ionic charge : 
solid_content,Solid Contents : | 50 % + 1 %,Solid Contents : 
viscosity,Viscosity : | 100 - 250 cP (at 25 oC),Viscosity : 
viscosity,"(Brookfield DV2T LV, spindle No 61, RPM 30) |","(Brookfield DV2T LV, spindle No 61, RPM 30) "
ph,pH Value : | 8.0 (at 25 oC),pH Value : 
particle_size,Particle Size : | 0.1 Âµm - 0.5 Âµm,Particle Size : 
irrelevant,"Film Appearance : | Clear, Transparent, Non tacky",Film Appearance : 
tg,Glass Transition Temperature : | 11 â€“ 13 oC,Glass Transition Temperature : 
irrelevant,Miscibility with water : | Miscible in all proportions,Miscibility with water : 
irrelevant,Frost Resistance : | Not frost resistant,Frost Resistance : 
irrelevant,Free Monomer : | â‰¤ 0.5,Free Monomer : 
header,SPECIFICATIONS |--| SPECIFICATIONS SPEZIFIKATIONEN SPECIFICATIONS |,SPECIFICATIONS 
header,SPEZIFIKATIONEN SPECIFICATIONS | -- | -- | --,SPEZIFIKATIONEN SPECIFICATIONS 
irrelevant,Amine value1 } mg KOH/g Aminzahll | ca 220 | Colour } Gardner Farbe | Max 7,Amine value1 } mg KOH/g Aminzahll 
irrelevant,Indice dâ€™amine1 |--| Couleur |,Indice dâ€™amine1 
irrelevant,Active hydrogen eq.wt. |--| % Solids |,Active hydrogen eq.wt. 
irrelevant,H-Ã„quivalentgew. | ca 140 | % Feststoffgehalt | 80 Â± 1.0,H-Ã„quivalentgew. 
irrelevant,H dâ€™amine en pds. |--| % de matiÃ¨res solides |,H dâ€™amine en pds. 
irrelevant,Addition levels |--| Flash point |,Addition levels 
irrelevant,} phr Zusatzmengen | ca 90 | }Â°C Flammpunkt | >100ËšC,} phr Zusatzmengen 
irrelevant,Doses dâ€™emploi conseillÃ©es |--| Point dâ€™Ã©clair |,Doses dâ€™emploi conseillÃ©es 
irrelevant,Viscosity |--| Solvent/Plasticiser | Water,Viscosity 
viscosity,} Pa.s 25Â°C ViskositÃ¤t | ca 23.0 | LÃ¶sungsmittel/Weichmacher | Wasser,} Pa.s 25Â°C ViskositÃ¤t 
viscosity,ViscositÃ© |--| Solvant/Plastifiant | Eau,ViscositÃ© 
density,Density } Dichte g/cm3 20Â°C | 1.06 |--|,Density } Dichte g/cm3 20Â°C 
irrelevant,DensitÃ© |--|  |,DensitÃ© 
irrelevant,1 by titration 1 gem. Titration 1 volumÃ©trique |--|  |,1 by titration 1 gem. Titration 1 volumÃ©trique 
irrelevant,No. | Item/é¡¹ç›® | Control/ æŽ§åˆ¶èŒƒå›´ | Natural/ è‡ªç„¶åˆ†å¸ƒ | Test method/ æµ‹è¯•æ–¹æ³•,No. 
irrelevant,1 | Size ï¼ˆçº§é…ï¼‰ |--|  | SOP-QR28,1 
irrelevant,| >0.425mm |--| 0 |,
irrelevant,| 0.25-0.425mm | <10% |--|,
irrelevant,| 0.18-0.25mm | 32%Â±10 |--|,
irrelevant,| 0.15-0.18mm |--| 15-25% |,
irrelevant,| 0.125-0.15mm |--| 15-25% |,
irrelevant,| 0.045-0.125mm |--| 10-19% |,
irrelevant,| <0.045mm | <1% |--|,
irrelevant,2 | Moisture contentï¼ˆå« æ°´çŽ‡ï¼‰ | % | <0.3% | SOP-QR02,2 
irrelevant,3 | Breakï¼ˆæ˜“ç¢Žæ€§ï¼‰ | % | <3% | SOP-QR05,3 
irrelevant,4 | Flowabilityï¼ˆæµåŠ¨æ€§ï¼‰ | second | 110g <5.5 sec | SOP-QR06,4 
specific_gravity,5 | Specific gravityï¼ˆæ¯” é‡ï¼‰ | g/cm3 | <3 | SOP-QR04,5 
density,6 | Bulk densityï¼ˆå®¹é‡ï¼‰ | g/cm3 | 1.65Â±0.2 | SOP-QR03,6 
irrelevant,7 | Color consistency ï¼ˆé¢œè‰²è‡´æ€§ï¼‰ | Â± | standardÂ±1 | SOP-QR13,7 
irrelevant,No/ åºå· | Code/å½©ç ‚ç¼–ç  | Color/é¢œè‰² | -- | Size/è§„æ ¼ | Pigment CAS no,No/ åºå· 
irrelevant,1 | CSCL 08-860-N | å†·æ©˜çº¢ | Orange | 80-120 mesh | 1332-37-2/12737-27-8,1 
irrelevant,2 | CSCL 08-481-N | å†·é¸¡è¡€çº¢ | Blood Red | 80-120 mesh | 1332-37-2/12737-27-8,2 
irrelevant,3 | CSCL 08-110-N | å†·ç°çŽ‰ | Grey Jade | 80-120 mesh | 12737-27-8/1345-16-0,3 
irrelevant,4 | CSCL 08-251-N | å†·çº¢æ£• | Red-Brown | 80-120 mesh | 68187-51-9/68412-38-4,4 
irrelevant,5 | SCSCL 08-180-N | å†·é»‘ | Black | 80-120 mesh | 12737-27-8,5 
header,test-no. | properties | nominal value | unit | test method,test-no. 
irrelevant,"1 | Lead | < 0,002 * | % | TI0091",1 
irrelevant,"2 | Cadmium | < 0,0005 * | % | TI0091",2 
irrelevant,"3 | Mercury | < 0,0001 * | % | TI0211",3 
irrelevant,"4 | Arsenic | < 0,0001 * | % | TI0211",4 
irrelevant,"5 | Selenium | < 0,0001 * | % | TI0211",5 
irrelevant,"6 | Chromium | < 0,003 * | % | TI0091",6 
irrelevant,"7 | Chromium (VI) | < 0,00005 * | % | TI0017",7 
irrelevant,"8 | Copper | < 0,003 * | % | TI0091",8 
irrelevant,"9 | Nickel | < 0,008 * | % | TI0091",9 
irrelevant,"10 | Antimony | < 0,0001 * | % | TI0211",10 
irrelevant,"11 | Barium | < 0,0005 * | % | TI0091",11 
irrelevant,"12 | Manganese | < 0,010* | % | TI0097",12 
irrelevant,"13 | Tin | < 0,001 * | % | TI0091",13 
irrelevant,"14 | Zinc | < 0,040 * | % | TI0097",14 
irrelevant,"15 16 | Iron Cobalt | < 0,15 * 0,0005 * | % % | TI0097 TI0091",15 16 
header,insp. characteristic | specification | unit,insp. characteristic 
irrelevant,TI00001 2-coat lacquer | O.K. |,TI00001 2-coat lacquer 
solid_content,TI00004 pigment content / non volatile | 68.0 - 72.0 | %,TI00004 pigment content / non volatile 
irrelevant,T100004 volatile content | 28.0 - 32.0 | %,T100004 volatile content 
irrelevant,T100005 sieving < 40 um | 98.5 - 100.0 | %,T100005 sieving < 40 um 
particle_size_d10,T100009 D 10 | 18.0 - 22.0 | um,T100009 D 10 
particle_size_d50,T100009 D 50 | 33.0 - 39.0 | um,T100009 D 50 
particle_size_d90,T100009 D 90 | 54.0 - 62.0 | um,T100009 D 90 
header,PHYSICAL AND CHEMICAL PROPERTIES | UNITS | LIMITS | GLASSVEN TEST METHODS | INTERNATIONAL METHODS,PHYSICAL AND CHEMICAL PROPERTIES 
irrelevant,SiO2 Content | % | 98 Min. | MIâ€“05 â€“033 | ISO 3262/19,SiO2 Content 
irrelevant,Loss on Drying (2 h at 105ÂºC) | % | 3.0 â€“ 6.0 | MIâ€“05-022 | ISO 787/2,Loss on Drying (2 h at 105ÂºC) 
irrelevant,Loss on Ignition at 1050ÂºC | % | 4.0 â€“ 6.0 | MIâ€“05-022 | ISO 3262/19,Loss on Ignition at 1050ÂºC 
ph,pH value (5% Slurry) | - | 6.0 â€“ 7.5 | MIâ€“05-025 | ISO 787/9,pH value (5% Slurry) 
irrelevant,BET Surface Area | m2 /g | 170 â€“ 200 | MI-05-031 | ISO 5794/1,BET Surface Area 
