id,data,label
29752,Brookfield viscosity (25 °C; 3/20) | ISO 2555 | mPas | 1300 –2700,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29753,pH value | ISO 976 |--| 4.0 –5.0,pH
29754,-- | -- | -- | --,irrelevant
29755,Total Solids | 55.0 | % | ISO 3251,Solid content | Solids | NV | NVM | Non-volatiles
29756,pH | 4.5 | - | ISO 976,pH
29757,Viscosity @ 23°C | 700 | mPa.s | ISO 2555,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29758,Particle Size | 0.37 | microns | ,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
29759,Minimum film forming temperature (MFFT) | 11 | °C | ,MFFT | MFT
29760,Specific Gravity (Dispersion) | 1.08 |--| ,Density | Specific gravity
29761,Specific Gravity (Dry Polymer) | 1.15 |--| ,Density | Specific gravity
29762,-- | -- | -- | --,irrelevant
29763,Particle Size | 0.37 | microns | ,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
29764,Minimum film forming temperature (MFFT) | 11 | °C | ,MFFT | MFT
29765,Specific Gravity (Dispersion) | 1.08 |--| ,Density | Specific gravity
29766,Specific Gravity (Dry Polymer) | 1.15 |--| ,Density | Specific gravity
29767,Viscosity @ 23°C | 700 | mPa.s | ISO 2555,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29768,Total Solids | 55.0 | % | ISO 3251,Solid content | Solids | NV | NVM | Non-volatiles
29769,pH | 4.5 | - | ISO 976,pH
29770,-- | -- | -- | -- | --,irrelevant
29771,Total Solids | % | 54.0 – 56.0 | ISO 3251 | --,Solid content | Solids | NV | NVM | Non-volatiles
29772,pH | - | 4 – 5 | ISO 976 | --,pH
29773,"Viscosity @ 23°C, Brookfield RVT3 20 rpm | mPa.s | 200 – 1200 |--| ISO 2555",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29774,TYPICAL PROPERTIES |--|  |--| --,irrelevant
29775,Particle Size | µm |--| 0.37 | ,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
29776,Minimum Film Forming Temperature | ºC |--| 11 | ,MFFT | MFT
29777,Specific Gravity (Dispersion) |--| 1.08 | -- | ,Density | Specific gravity
29778,Specific Gravity (Dry Polymer) |--| 1.15 | -- | ,Density | Specific gravity
29779,-- | -- | --,irrelevant
29780,Contenido de Sólidos | % | 54 - 56,Solid content | Solids | NV | NVM | Non-volatiles
29781,Viscosidad |--| 2000 -3500,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29782,"Viscosimetro Brookfield RVT, Spindle Nr. 2/20 rpm/ 23 ℃ | mpa.s | --",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29783,DH |--| 4 -5,pH
29784,-- | -- | --,irrelevant
29785,Temperatura Minima de Formación de Film ( MEFT ) |--| Aprox. 13,MFFT | MFT
29786,"Aspecto |--| Transparente, duro, no pegajoso",irrelevant
29787,-- | -- | --,irrelevant
29788,Appearance | CTG 4500 | Pass,irrelevant
29789,"Opaque, White to Off-White Liquid |--| ",irrelevant
29790,Free of Visible Impurities |--| ,irrelevant
29791,pH | DOWM 102574 | 4.50-5.50,pH
29792,Viscosity Brookfield | DOWM 102715 | 1400-4000mPa.s,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29793,"RV, Spindle #2, 20 rpm, 25°C |--| ",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29794,FTIR Identification | CTG 3220 | Pass,irrelevant
29795,Solids Content | DOWM 102570 | 64.00-66.00%,Solid content | Solids | NV | NVM | Non-volatiles
29796,"Forced Draft Oven, 105°C, 0.6 g, 60 min |--| ",irrelevant
29797,-- | -- | -- | --,irrelevant
29798,Total Solids | 55.0 | % | ISO 3251,Solid content | Solids | NV | NVM | Non-volatiles
29799,pH | 5.0 | - | ISO 976,pH
29800,"Viscosity | 1,000 | mPa.s | ISO 2555",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29801,Particle Size | 0.33 | microns | ,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
29802,Minimum film forming temperature (MFFT) | 14 |--| ,MFFT | MFT
29803,Specific Gravity (Dispersion) | 1.08 |--| ,Density | Specific gravity
29804,Specific Gravity (Dry Polymer) | 1.15 |--| ,Density | Specific gravity
29805,-- | -- | --,irrelevant
29806,Total Solids | 54.0 - 56.0 % | ISO 3251,Solid content | Solids | NV | NVM | Non-volatiles
29807,pH | 4.5 - 5.5 | ISO 976,pH
29808,"Viscosity | 500 - 1,500 mPa s | ISO 2555",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29809,TYPICAL PROPERTIES |--| ,irrelevant
29810,Particle Size | 0.33 µm | ,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
29811,Minimum film forming temperature (MFFT) | 14 | ,MFFT | MFT
29812,Specific Gravity (Dispersion) | 1.08 | ,Density | Specific gravity
29813,Specific Gravity (Dry Polymer) | 1.15 | ,Density | Specific gravity
29814,-- | -- | --,irrelevant
29815,Solids content | DIN EN ISO 3251 | 49 - 51 %,Solid content | Solids | NV | NVM | Non-volatiles
29816,"Viscosity, dynamic at 23 °C | DIN EN ISO 2555 | 9000 - 15000 mPa.s",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29817,pH-Value | DIN/ISO 976 | 4 - 5,pH
29818,Typical general characteristics | Inspection Method | Value,irrelevant
29819,"Density | DIN EN ISO 2811-1 | approx. 1,09 g/cm³",Density | Specific gravity
29820,Minimum film forming temperature | DIN ISO 2115 | approx. 2 °C,MFFT | MFT
29821,Glass transition temperature | DIN EN 1876-2 | approx. 7 °C,Tg
29822,Frost resistance | WACKER method | protect from freezing,irrelevant
29823,Predominant particle size | WACKER method | approx. 700 nm,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
29824,Protective colloid / emulsifier system | WACKER method | ionic and nonionic surfactants and polymer compounds,irrelevant
29825,Filler and pigment compatibility | WACKER method | very good,irrelevant
29826,Electrolyte stability | WACKER method | very good,irrelevant
29827,"Appearance | WACKER method | clear, glossy",irrelevant
29828,Surface | WACKER method | slightly tacky,irrelevant
29829,"Tensile strength | DIN EN ISO 627-3 | approx. 5,0 N/mm2",
29830,Elongation at break | DIN EN ISO 627-3 | approx. 700 %,
29831,Cold break temperature | DIN EN 1876-2 | approx. 7 °C,irrelevant
29832,-- | --,irrelevant
29833,"Brookfield Viscosity, 25°C | 400 cP",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29834,Solids Content | 55%,Solid content | Solids | NV | NVM | Non-volatiles
29835,Specific Gravity of Latex @ 25°C | 1.1,
29836,"Density, lbs./U.S. gal., 25°C | 9.06",
29837,"Dry Bulking Value, U.S. gal./lb. | 0.1027",doubt
29838,pH | 5.0,pH
29839,Average Particle Size | 0.3 microns,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
29840,MFFT | 10°C,MFFT | MFT
29841,-- | -- | -- | -- | -- | -- | --,irrelevant
29842,ACRIBEAR P-42 | Slightly bluish white | 40 + -1% | 0 | 8000-14000 | 4-5 | 1.07,irrelevant
29843,-- | --,irrelevant
29844,"Solids, % | 55.0",Solid content | Solids | NV | NVM | Non-volatiles
29845,"Viscosity, cps. | 300",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29846,pH | 4.5,pH
29847,"Tg, ℃ | 6",Tg
29848,MFFT ℃ | 0,MFFT | MFT
29849,"Particle Size, nm | 220",Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
29850,Density g/ml | 1.06,Density | Specific gravity
29851,-- | -- | -- | --,irrelevant
29852,Solids content |--|  | ,Solid content | Solids | NV | NVM | Non-volatiles
29853,(DIN EN ISO 3251; 2 h; 105 °C) | % | 55 ± | 1,Solid content | Solids | NV | NVM | Non-volatiles
29854,Viscosity |--|  | ,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29855,"(DIN EN ISO 2555; spindle no. 5; 20 rpm, 23 °C) | mPa·s | 7 500 ± | 2 000",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29856,Brookfield viscometer RVT |--|  | --,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29857,pH value |--|  | ,pH
29858,(DIN ISO 976; 1:1 with water) |--| 4.3 ± | 0.8,
29859,-- | -- | --,irrelevant
29860,Dispersion |--| ,irrelevant
29861,Particle size | µm | approx. 0.5 - 2.5,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
29862,Minimum film forming temperature (MFFT) |--| ,MFFT | MFT
29863,(DIN ISO 2115) | °C | 0,MFFT | MFT
29864,-- | -- | -- | --,irrelevant
29865,Total Solids | 52.5 | % | ISO3251,Solid content | Solids | NV | NVM | Non-volatiles
29866,pH | 6.5 | - | ISO976,pH
29867,Viscosity @23°C | 600 | mPa.s | ISO2555,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29868,Particle Size | 0.17 | microns | ,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
29869,Minimum Film Forming Temperature | 4 | °C | ,MFFT | MFT
29870,Specific Gravity (Dispersion) | 1.05 |--| ,Density | Specific gravity
29871,Specific Gravity (Dry Polymer) | 1.10 |--| ,Density | Specific gravity
29872,-- | -- | -- | --,irrelevant
29873,Total Solids | 52.5 | % | ISO3251,Solid content | Solids | NV | NVM | Non-volatiles
29874,pH | 6.5 | - | ISO976,pH
29875,Viscosity @23°C | 600 | mPa.s | ISO2555,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29876,Particle Size | 0.17 | microns | ,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
29877,Minimum Film Forming Temperature | 4 | °C | ,MFFT | MFT
29878,Specific Gravity (Dispersion) | 1.05 |--| ,Density | Specific gravity
29879,Specific Gravity (Dry Polymer) | 1.10 |--| ,Density | Specific gravity
29880,-- | -- | -- | --,irrelevant
29881,Total Solids | 52.5 | % | ISO3251,Solid content | Solids | NV | NVM | Non-volatiles
29882,pH | 6.5 | - | ISO976,pH
29883,Viscosity @23°C | 600 | mPa.s | ISO2555,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29884,Particle Size | 0.17 | microns | ,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
29885,Minimum Film Forming Temperature | 4 | °C | ,MFFT | MFT
29886,Specific Gravity (Dispersion) | 1.05 |--| ,Density | Specific gravity
29887,Specific Gravity (Dry Polymer) | 1.10 |--| ,Density | Specific gravity
29888,-- | -- | --,irrelevant
29889,Solids content | EN ISO 3251 | 54 - 56 %,Solid content | Solids | NV | NVM | Non-volatiles
29890,"Viscosity, dynamic at 23 °C | DIN EN ISO 2555 | 2700 - 5900 mPa.s",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29891,"pH-Value | DIN/ISO 976 | 4,5 - 5,5",pH
29892,Typical general characteristics | Inspection Method | Value,irrelevant
29893,"Density | DIN EN ISO 2811-1 | approx. 1,06 g/cm³",Density | Specific gravity
29894,Minimum film forming temperature | DIN ISO 2115 | approx. 0 °C,MFFT | MFT
29895,Frost resistance | specific method | protect from freezing,irrelevant
29896,Predominant particle size | specific method | approx. 400 nm,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
29897,Protective colloid / emulsifier system |--| ionic and nonionic surfactants and polymer compounds,irrelevant
29898,Filler and pigment compatibility | specific method | very good,irrelevant
29899,Electrolyt stability | specific method | very good,irrelevant
29900,"Appearance of the dispersion film | Visual | clear, glossy",irrelevant
29901,Surface of the dispersion film | specific method | slightly tacky,irrelevant
29902,-- | -- | --,irrelevant
29903,Solids content | EN ISO 3251 | 54 - 56 %,Solid content | Solids | NV | NVM | Non-volatiles
29904,"Viscosity, dynamic at 23 °C | DIN EN ISO 2555 | 2700 - 5900 mPa.s",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29905,"pH-Value | DIN/ISO 976 | 4,5 - 5,5",pH
29906,-- | -- | --,irrelevant
29907,"Density | DIN EN ISO 2811-1 | approx. 1,06 g/cm³",Density | Specific gravity
29908,Minimum film forming temperature | DIN ISO 2115 | approx. 0 °C,MFFT | MFT
29909,Frost resistance | specific method | protect from freezing,irrelevant
29910,Predominant particle size | specific method | approx. 400 nm,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
29911,Protective colloid / emulsifier system | specific method | ionic and nonionic surfactants and polymer compounds,irrelevant
29912,Filler and pigment compatibility | specific method | very good,irrelevant
29913,Electrolyt stability | specific method | very good,irrelevant
29914,"Appearance | specific method | clear, glossy",irrelevant
29915,Surface | specific method | slightly tacky,irrelevant
29916,-- | -- | --,irrelevant
29917,Solids content | EN ISO 3251 | 54 - 56 %,Solid content | Solids | NV | NVM | Non-volatiles
29918,"Viscosity, dynamic at 23 °C | DIN EN ISO 2555 | 2700 - 5900 mPa.s",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29919,"pH-Value | DIN/ISO 976 | 4,5 - 5,5",pH
29920,Typical general characteristics | Inspection Method | Value,irrelevant
29921,"Density | DIN EN ISO 2811-1 | approx. 1,06 g/cm³",Density | Specific gravity
29922,Minimum film forming temperature | DIN ISO 2115 | approx. 0 °C,MFFT | MFT
29923,Frost resistance | specific method | protect from freezing,irrelevant
29924,Predominant particle size | specific method | approx. 400 nm,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
29925,Protective colloid / emulsifier system |--| ionic and nonionic surfactants and polymer compounds,irrelevant
29926,Filler and pigment compatibility | specific method | very good,irrelevant
29927,Electrolyt stability | specific method | very good,irrelevant
29928,"Appearance of the dispersion film | Visual | clear, glossy",irrelevant
29929,Surface of the dispersion film | specific method | slightly tacky,irrelevant
29930,-- | -- | --,irrelevant
29931,Solids content | EN ISO 3251 | 54 - 56 %,Solid content | Solids | NV | NVM | Non-volatiles
29932,"Viscosity, dynamic at 23 °C | DIN EN ISO 2555 | 2700 - 5900 mPa.s",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29933,"pH-Value | DIN/ISO 976 | 4,5 - 5,5",pH
29934,-- | -- | -- | --,irrelevant
29935,Solids content (130 °C; 30 min) | ISO 3251 | % | 49 – 51,Solid content | Solids | NV | NVM | Non-volatiles
29936,Brookfield viscosity (25 °C; 2/20) | ISO 2555 | mPas | 50 – 300,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29937,pH value | ISO 976 |--| 4.0 – 5.5,pH
29938,-- | -- | -- | --,irrelevant
29939,Particle size |--| µm | approx. 0.4,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
29940,Minimum film forming temperature | ISO 2115 | °C | approx. 22,MFFT | MFT
29941,Glass transition temperature | ISO 16805 | °C | approx. 30,Tg
29942,-- | -- | -- | --,irrelevant
29943,Total Solids | 51.0 | % | ISO 3251,Solid content | Solids | NV | NVM | Non-volatiles
29944,pH | 4.0 | - | ISO 976,pH
29945,Viscosity @ 23°C | 2000 | mPa s | ISO 2555,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29946,Minimum Film Forming Temperature (MFFT) | 0 | °C | ,MFFT | MFT
29947,Specific Gravity (Dispersion) | 1.06 |--| ,Density | Specific gravity
29948,Specific Gravity (Dry Polymer) | 1.12 |--| ,Density | Specific gravity
29949,* internal method based upon the specified norm |--|  | ,irrelevant
29950,-- | -- | -- | --,irrelevant
29951,Particle size |--| Um | approx. 0.4 - 2.5,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
29952,Minimum film forming temperature | ISO 2115 | O | approx. 14,MFFT | MFT
29953,Glass transition temperature | ISO 16805 |--| approx. 42,Tg
29954,-- | -- | -- | --,irrelevant
29955,Solids content (130 ℃ ; 30 min) | ISO 3251 | % | 49 - 51,Solid content | Solids | NV | NVM | Non-volatiles
29956,Brookfield viscosity (25 ℃ ; 7/20) | ISO 2555 | mPas | 30000 - 60000,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29957,pH value (1:1 diluted by water) | ISO 976 |--| 3.5 - 5.5,pH
29958,-- | -- | -- | --,irrelevant
29959,Solids content (130 °C; 30 min) | ISO 3251 | % | 49 –51,Solid content | Solids | NV | NVM | Non-volatiles
29960,Brookfield viscosity (25 °C; 7/20) | ISO 2555 | mPas | 30 000 –60 000,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29961,pH value | ISO 976 |--| 3.5 –5.5,pH
29962,-- | -- | -- | -- | --,irrelevant
29963,Particle size |--|  | µm | approx. 0.4 –2.5,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
29964,Minimum film forming temperature |--| ISO 2115 | °C | approx. 14,MFFT | MFT
29965,Glass transition temperature |--| ISO 16805 | °C | approx. 44,Tg
29966,"Appearance of polymer film |--|  | slightly opaque, tack-free | --",irrelevant
29967,-- | -- | --,irrelevant
29968,Solids content | EN ISO 3251 | 54 - 56 %,Solid content | Solids | NV | NVM | Non-volatiles
29969,"Viscosity, dynamic at 23 °C | DIN EN ISO 2555 | 2700 - 5900 mPa.s",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29970,"pH-Value | DIN/ISO 976 | 4,5 - 5,5",pH
29971,Typical general characteristics | Inspection Method | Value,irrelevant
29972,"Density | DIN EN ISO 2811-1 | approx. 1,06 g/cm³",Density | Specific gravity
29973,Minimum film forming temperature | DIN ISO 2115 | approx. 0 °C,MFFT | MFT
29974,Frost resistance | specific method | protect from freezing,irrelevant
29975,Predominant particle size | specific method | approx. 400 nm,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
29976,Protective colloid / emulsifier system | specific method | ionic and nonionic surfactants and polymer compounds,irrelevant
29977,Filler and pigment compatibility | specific method | very good,irrelevant
29978,Electrolyte stability | specific method | very good,irrelevant
29979,"Appearance | specific method | clear, glossy",irrelevant
29980,Surface | specific method | slightly tacky,irrelevant
29981,-- | -- | --,irrelevant
29982,Solids content | DIN EN ISO 3251 | 54 - 56 %,Solid content | Solids | NV | NVM | Non-volatiles
29983,"Viscosity, dynamic at 23 °C | DIN EN ISO 2555 | 2700 - 5900 mPa.s",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29984,"pH-Value | DIN/ISO 976 | 4,5 - 5,5",pH
29985,Typical general characteristics | Inspection Method | Value,irrelevant
29986,"Density | DIN EN ISO 2811-1 | approx. 1,06 g/cm³",Density | Specific gravity
29987,Minimum film forming temperature | DIN ISO 2115 | approx. 0 °C,MFFT | MFT
29988,Frost resistance | specific method | protect from freezing,irrelevant
29989,Predominant particle size | specific method | approx. 400 nm,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
29990,Protective colloid / emulsifier system | specific method | ionic and nonionic surfactants and polymer compounds,irrelevant
29991,Filler and pigment compatibility | specific method | very good,irrelevant
29992,Electrolyte stability | specific method | very good,irrelevant
29993,"Appearance of the dispersion film | specific method | clear, glossy",irrelevant
29994,Surface of the dispersion film | specific method | slightly tacky,irrelevant
29995,-- | -- | --,irrelevant
29996,Solids content | EN ISO 3251 | 54 - 56 %,Solid content | Solids | NV | NVM | Non-volatiles
29997,"Viscosity, dynamic at 23 °C | DIN EN ISO 2555 | 2700 - 5900 mPa.s",Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
29998,"pH-Value | DIN/ISO 976 | 4,5 - 5,5",pH
29999,Typical general characteristics | Inspection Method | Value,irrelevant
30000,"Density | DIN EN ISO 2811-1 | approx. 1,06 g/cm³",Density | Specific gravity
30001,Minimum film forming temperature | DIN ISO 2115 | approx. 0 °C,MFFT | MFT
30002,Frost resistance | specific method | protect from freezing,irrelevant
30003,Predominant particle size | specific method | approx. 400 nm,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
30004,Protective colloid / emulsifier system | specific method | ionic and nonionic surfactants and polymer compounds,irrelevant
30005,Filler and pigment compatibility | specific method | very good,irrelevant
30006,Electrolyte stability | specific method | very good,irrelevant
30007,"Appearance | specific method | clear, glossy",irrelevant
30008,Surface | specific method | slightly tacky,irrelevant
30009,-- | -- | -- | --,irrelevant
30010,Total Solids | 50.0 | % | ISO 3251,Solid content | Solids | NV | NVM | Non-volatiles
30011,pH | 4.0 |--| ISO 976,pH
30012,Viscosity | 2250 | mPa.s | ISO 2555,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
30013,Particle Size | 0.3 | microns | ,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
30014,Minimum film forming temperature (MFFT) | 13 | °C | ,MFFT | MFT
30015,-- | -- | -- | --,irrelevant
30016,Total Solids | 50.0 | % | ISO 3251,Solid content | Solids | NV | NVM | Non-volatiles
30017,pH | 4.0 |--| ISO 976,pH
30018,Viscosity | 2250 | mPa.s | ISO 2555,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
30019,Particle Size | 0.3 | microns | ,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
30020,Minimum film forming temperature (MFFT) | 13 | Â°C | ,MFFT | MFT
30021,-- | -- | -- | --,irrelevant
30022,Solids content | DIN ISO 1625; 2 h; 105°C | % | 54 – 56,Solid content | Solids | NV | NVM | Non-volatiles
30023,Brookfield viscosity | DIN EN ISO 2555; spindle nr. 2; 60rpm; 25°C; Brookfield viscometer LVDV | mPa.s | 100 – 700,Viscosity | Brookfield | Rheology | Zahn cup | ISO cup | Ford cup | Falling ball viscosity
30024,pH value | DIN ISO 976 |--| 4 – 5,pH
30025,-- | -- | -- | --,irrelevant
30026,Particle size | Measured with “Laser Diffraction Technique” | μm | approx. 0.16,Particle size | Diameter | D50 | D98 |	Fineness | Mesh size |Coarseness
30027,Minimum film forming temperature (MFFT) | DIN ISO 2115 | °C | 0,MFFT | MFT
30028,Glass transition temperature (Tg) | DIN 53 765; DSC; heating rate 10 K/min | °C | approx. 12,Tg
30029,-- | -- | -- | --,irrelevant
30030,Solids content | ISO 3251 | % | 54.0~56.0,Solid content | Solids | NV | NVM | Non-volatiles
